angle_deg,range_m,count
0.000,nan,0
1.000,nan,0
2.000,nan,0
3.000,nan,0
4.000,nan,0
5.000,nan,0
6.000,nan,0
7.000,nan,0
8.000,nan,0
9.000,nan,0
10.000,nan,0
11.000,nan,0
12.000,nan,0
13.000,nan,0
14.000,nan,0
15.000,nan,0
16.000,nan,0
17.000,nan,0
18.000,nan,0
19.000,nan,0
20.000,nan,0
21.000,nan,0
22.000,nan,0
23.000,nan,0
24.000,nan,0
25.000,nan,0
26.000,nan,0
27.000,nan,0
28.000,nan,0
29.000,nan,0
30.000,nan,0
31.000,nan,0
32.000,nan,0
33.000,nan,0
34.000,nan,0
35.000,nan,0
36.000,nan,0
37.000,nan,0
38.000,nan,0
39.000,1.386131,21
40.000,1.385950,35
41.000,1.345279,34
42.000,1.306932,37
43.000,1.280797,32
44.000,1.260889,27
45.000,1.245279,34
46.000,1.225409,33
47.000,1.209100,35
48.000,1.188879,35
49.000,1.172618,34
50.000,1.157385,26
51.000,1.145280,33
52.000,1.130236,35
53.000,1.115667,36
54.000,1.103359,32
55.000,1.091662,34
56.000,1.082067,26
57.000,1.071647,34
58.000,1.060214,35
59.000,1.061100,10
60.000,0.740156,16
61.000,0.721861,36
62.000,0.707853,34
63.000,0.699706,34
64.000,0.694000,25
65.000,0.688036,35
66.000,0.681924,33
67.000,0.688122,39
68.000,0.717618,34
69.000,0.746014,37
70.000,0.780696,37
71.000,0.789735,34
72.000,0.778500,22
73.000,0.711839,28
74.000,0.633945,32
75.000,0.642905,37
76.000,0.652375,26
77.000,0.655156,32
78.000,0.639821,35
79.000,0.602974,38
80.000,0.609544,34
81.000,0.616038,33
82.000,0.628333,33
83.000,0.651422,29
84.000,0.652424,33
85.000,0.660039,38
86.000,0.648856,33
87.000,0.633086,35
88.000,0.670638,38
89.000,0.670775,30
90.000,0.668446,28
91.000,0.667729,35
92.000,0.670811,37
93.000,0.671736,35
94.000,0.672379,33
95.000,0.664263,37
96.000,0.631526,19
97.000,0.626464,35
98.000,0.631064,35
99.000,0.633480,38
100.000,0.635450,35
101.000,0.637117,30
102.000,0.639000,30
103.000,0.641136,33
104.000,0.644457,35
105.000,0.647382,38
106.000,0.650417,33
107.000,0.653764,36
108.000,0.656879,29
109.000,0.659867,30
110.000,0.664271,35
111.000,0.668829,38
112.000,0.673471,35
113.000,0.678436,35
114.000,0.683250,32
115.000,0.688344,32
116.000,0.693083,30
117.000,0.699642,37
118.000,0.705650,35
119.000,0.712824,37
120.000,0.719693,35
121.000,0.727662,34
122.000,0.733910,25
123.000,0.740353,34
124.000,0.748581,37
125.000,0.758553,38
126.000,0.763014,35
127.000,0.774629,31
128.000,0.800333,39
129.000,0.838217,30
130.000,0.825804,28
131.000,0.813784,37
132.000,0.824893,35
133.000,0.838307,35
134.000,0.854162,37
135.000,3.338219,16
136.000,3.351375,4
137.000,nan,0
138.000,3.468083,30
139.000,3.536622,37
140.000,3.619466,37
141.000,3.681545,22
142.000,2.452722,9
143.000,nan,0
144.000,nan,0
145.000,nan,0
146.000,2.286750,2
147.000,2.267706,34
148.000,2.243042,24
149.000,2.221892,37
150.000,2.200250,31
151.000,2.187636,11
152.000,2.172464,35
153.000,2.148132,34
154.000,2.127308,26
155.000,2.103103,34
156.000,2.087471,35
157.000,2.065694,36
158.000,2.047000,34
159.000,2.033412,34
160.000,2.015500,24
161.000,2.003821,35
162.000,1.999696,37
163.000,1.976464,35
164.000,1.964214,35
165.000,1.953222,36
166.000,1.946365,24
167.000,1.941000,36
168.000,1.928493,35
169.000,1.925311,37
170.000,1.921985,34
171.000,1.917390,34
172.000,1.907961,26
173.000,1.903935,31
174.000,1.901547,37
175.000,1.947707,35
176.000,1.947471,35
177.000,1.946097,36
178.000,1.945219,24
179.000,1.945611,36
-180.000,1.942014,35
-179.000,1.928629,35
-178.000,1.770391,32
-177.000,1.757583,36
-176.000,1.753812,24
-175.000,1.763021,35
-174.000,1.848628,37
-173.000,1.945135,37
-172.000,1.960164,35
-171.000,1.976943,35
-170.000,1.908614,22
-169.000,1.764456,34
-168.000,1.597561,33
-167.000,1.464083,33
-166.000,1.357367,30
-165.000,1.284820,25
-164.000,1.207143,35
-163.000,1.125853,34
-162.000,1.060700,35
-161.000,0.998941,34
-160.000,0.959408,19
-159.000,0.917493,37
-158.000,0.871508,33
-157.000,0.833137,31
-156.000,0.805625,24
-155.000,0.777357,35
-154.000,0.744993,35
-153.000,0.717267,30
-152.000,0.692750,32
-151.000,0.673596,26
-150.000,0.652071,35
-149.000,0.629833,33
-148.000,0.611795,33
-147.000,0.592221,34
-146.000,0.579045,22
-145.000,0.565727,33
-144.000,0.549574,37
-143.000,0.535827,26
-142.000,0.525397,29
-141.000,0.514839,31
-140.000,0.502444,36
-139.000,0.492683,30
-138.000,0.482492,33
-137.000,0.473696,28
-136.000,0.465328,29
-135.000,0.456409,33
-134.000,0.447814,35
-133.000,0.439203,37
-132.000,0.433294,17
-131.000,0.427527,37
-130.000,0.420197,33
-129.000,0.413387,31
-128.000,0.408144,33
-127.000,0.403490,26
-126.000,0.397521,36
-125.000,0.392033,30
-124.000,0.387000,34
-123.000,0.382847,31
-122.000,0.379183,26
-121.000,0.375597,31
-120.000,0.371027,37
-119.000,0.366836,35
-118.000,0.363611,27
-117.000,0.360508,30
-116.000,0.357586,32
-115.000,0.354285,36
-114.000,0.351075,30
-113.000,0.348775,30
-112.000,0.346304,28
-111.000,0.343978,34
-110.000,0.341408,30
-109.000,0.339321,35
-108.000,0.337100,30
-107.000,0.335145,31
-106.000,0.333750,26
-105.000,0.332132,34
-104.000,0.330507,35
-103.000,0.328736,37
-102.000,0.327457,29
-101.000,0.326316,34
-100.000,0.325448,24
-99.000,0.324286,35
-98.000,0.323317,30
-97.000,0.322657,35
-96.000,0.321809,34
-95.000,0.321394,26
-94.000,0.320905,29
-93.000,0.320471,34
-92.000,0.320273,33
-91.000,0.319906,32
-90.000,0.319929,28
-89.000,0.319949,34
-88.000,0.320102,32
-87.000,0.320212,26
-86.000,0.320583,36
-85.000,0.320917,36
-84.000,0.321396,24
-83.000,0.321891,32
-82.000,0.322540,31
-81.000,0.323321,28
-80.000,0.323840,36
-79.000,0.325028,36
-78.000,0.326228,34
-77.000,0.327398,32
-76.000,0.328700,30
-75.000,0.329802,29
-74.000,0.331224,29
-73.000,0.332992,32
-72.000,0.334444,36
-71.000,0.336711,38
-70.000,0.339105,31
-69.000,0.340966,29
-68.000,0.342703,32
-67.000,0.344500,30
-66.000,0.347579,38
-65.000,0.350417,33
-64.000,0.353171,35
-63.000,0.356400,35
-62.000,0.359710,31
-61.000,0.362806,31
-60.000,0.366109,32
-59.000,0.369826,33
-58.000,0.373898,32
-57.000,0.377707,29
-56.000,0.382045,39
-55.000,0.386662,34
-54.000,0.391588,34
-53.000,0.397053,38
-52.000,0.402679,28
-51.000,0.407432,33
-50.000,0.412655,29
-49.000,0.418961,38
-48.000,0.425149,37
-47.000,0.432858,37
-46.000,0.440007,37
-45.000,0.448217,30
-44.000,0.455743,38
-43.000,0.464317,30
-42.000,0.471960,31
-41.000,0.480971,34
-40.000,0.490306,31
-39.000,0.500645,38
-38.000,0.511914,35
-37.000,0.523789,38
-36.000,0.540734,32
-35.000,0.548500,28
-34.000,0.564969,32
-33.000,0.580054,37
-32.000,0.594854,24
-31.000,0.610388,38
-30.000,0.629593,35
-29.000,0.652270,38
-28.000,0.685687,8
-27.000,0.702912,34
-26.000,nan,0
-25.000,nan,0
-24.000,nan,0
-23.000,0.207632,17
-22.000,0.207750,4
-21.000,nan,0
-20.000,nan,0
-19.000,nan,0
-18.000,nan,0
-17.000,nan,0
-16.000,nan,0
-15.000,nan,0
-14.000,nan,0
-13.000,nan,0
-12.000,nan,0
-11.000,nan,0
-10.000,nan,0
-9.000,nan,0
-8.000,nan,0
-7.000,nan,0
-6.000,nan,0
-5.000,nan,0
-4.000,nan,0
-3.000,nan,0
-2.000,nan,0
-1.000,nan,0
