angle_deg,range_m,count
0.000,nan,0
1.000,nan,0
2.000,nan,0
3.000,nan,0
4.000,nan,0
5.000,nan,0
6.000,nan,0
7.000,nan,0
8.000,nan,0
9.000,nan,0
10.000,nan,0
11.000,nan,0
12.000,nan,0
13.000,nan,0
14.000,nan,0
15.000,nan,0
16.000,nan,0
17.000,nan,0
18.000,nan,0
19.000,nan,0
20.000,nan,0
21.000,nan,0
22.000,nan,0
23.000,nan,0
24.000,nan,0
25.000,nan,0
26.000,nan,0
27.000,nan,0
28.000,nan,0
29.000,nan,0
30.000,nan,0
31.000,nan,0
32.000,nan,0
33.000,nan,0
34.000,nan,0
35.000,nan,0
36.000,nan,0
37.000,nan,0
38.000,nan,0
39.000,1.386553,19
40.000,1.377173,26
41.000,1.339031,24
42.000,1.303427,24
43.000,1.281304,28
44.000,1.259774,21
45.000,1.241942,26
46.000,1.221900,25
47.000,1.205240,24
48.000,1.187538,26
49.000,1.170885,24
50.000,1.155308,26
51.000,1.141312,24
52.000,1.128110,25
53.000,1.115460,25
54.000,1.101130,23
55.000,1.090444,27
56.000,1.080052,24
57.000,1.069062,24
58.000,1.058370,25
59.000,1.061607,14
60.000,0.739906,16
61.000,0.721260,24
62.000,0.706448,24
63.000,0.699836,26
64.000,0.692880,25
65.000,0.686208,24
66.000,0.680730,25
67.000,0.691962,26
68.000,0.717190,25
69.000,0.746554,28
70.000,0.782411,28
71.000,0.789480,25
72.000,0.776054,23
73.000,0.696000,18
74.000,0.633971,26
75.000,0.643972,27
76.000,0.653091,22
77.000,0.655346,26
78.000,0.637833,24
79.000,0.604848,23
80.000,0.607954,27
81.000,0.615769,26
82.000,0.626421,35
83.000,0.651146,24
84.000,0.653135,26
85.000,0.662170,25
86.000,0.642261,22
87.000,0.632865,26
88.000,0.670865,26
89.000,0.670677,24
90.000,0.668296,27
91.000,0.667841,22
92.000,0.670393,28
93.000,0.671674,23
94.000,0.672361,27
95.000,0.666479,24
96.000,0.628043,23
97.000,0.625923,26
98.000,0.631698,24
99.000,0.633700,25
100.000,0.635229,24
101.000,0.637000,27
102.000,0.639479,24
103.000,0.641813,24
104.000,0.644796,27
105.000,0.647576,23
106.000,0.649920,25
107.000,0.653556,27
108.000,0.656935,23
109.000,0.660991,28
110.000,0.665188,24
111.000,0.668769,26
112.000,0.672969,24
113.000,0.678361,27
114.000,0.682500,23
115.000,0.687930,25
116.000,0.693583,27
117.000,0.700340,25
118.000,0.706040,25
119.000,0.713250,27
120.000,0.720090,25
121.000,0.727200,25
122.000,0.734590,25
123.000,0.742202,26
124.000,0.749727,22
125.000,0.758848,28
126.000,0.762090,25
127.000,0.775630,25
128.000,0.797652,28
129.000,0.837860,25
130.000,0.823600,25
131.000,0.814188,24
132.000,0.826404,26
133.000,0.838073,24
134.000,0.852230,25
135.000,3.342985,17
136.000,nan,0
137.000,nan,0
138.000,3.480000,26
139.000,3.535522,23
140.000,3.616890,25
141.000,3.678021,24
142.000,2.454750,16
143.000,nan,0
144.000,nan,0
145.000,nan,0
146.000,2.284500,4
147.000,2.270902,23
148.000,2.243875,26
149.000,2.217910,25
150.000,2.200674,23
151.000,2.183841,11
152.000,2.171413,23
153.000,2.147750,26
154.000,2.123830,25
155.000,2.097450,25
156.000,2.085396,24
157.000,2.065550,25
158.000,2.044039,26
159.000,2.034042,24
160.000,2.014192,26
161.000,1.999219,24
162.000,1.995320,25
163.000,1.973087,26
164.000,1.966337,23
165.000,1.951654,26
166.000,1.945533,23
167.000,1.937183,26
168.000,1.928908,27
169.000,1.924185,23
170.000,1.921154,26
171.000,1.916317,26
172.000,1.906781,24
173.000,1.904150,25
174.000,1.908469,24
175.000,1.951231,26
176.000,1.949896,24
177.000,1.944904,26
178.000,1.947054,23
179.000,1.939664,26
-180.000,1.940875,24
-179.000,1.932146,24
-178.000,1.770731,26
-177.000,1.759594,24
-176.000,1.753460,25
-175.000,1.764230,25
-174.000,1.887490,25
-173.000,1.951154,26
-172.000,1.961074,27
-171.000,1.976948,24
-170.000,1.894560,25
-169.000,1.732487,20
-168.000,1.588680,25
-167.000,1.469098,23
-166.000,1.356330,25
-165.000,1.269573,24
-164.000,1.193740,24
-163.000,1.116096,26
-162.000,1.058837,23
-161.000,0.999400,25
-160.000,0.950660,25
-159.000,0.906130,23
-158.000,0.865590,25
-157.000,0.832091,22
-156.000,0.803179,21
-155.000,0.772038,26
-154.000,0.744955,22
-153.000,0.717800,25
-152.000,0.692038,26
-151.000,0.670523,22
-150.000,0.647673,26
-149.000,0.629614,22
-148.000,0.610719,24
-147.000,0.593390,25
-146.000,0.576330,25
-145.000,0.562511,22
-144.000,0.549230,25
-143.000,0.537050,20
-142.000,0.524510,26
-141.000,0.513033,23
-140.000,0.501288,26
-139.000,0.492272,23
-138.000,0.482448,24
-137.000,0.472480,25
-136.000,0.464250,23
-135.000,0.455719,24
-134.000,0.447324,27
-133.000,0.439909,22
-132.000,0.432390,25
-131.000,0.425820,25
-130.000,0.419315,23
-129.000,0.413170,25
-128.000,0.407946,23
-127.000,0.402635,24
-126.000,0.397290,25
-125.000,0.391560,25
-124.000,0.387036,21
-123.000,0.382313,28
-122.000,0.378094,24
-121.000,0.374875,24
-120.000,0.371042,24
-119.000,0.367020,25
-118.000,0.363640,25
-117.000,0.360271,24
-116.000,0.357565,23
-115.000,0.354337,26
-114.000,0.350866,28
-113.000,0.348600,20
-112.000,0.346000,25
-111.000,0.343413,26
-110.000,0.341261,22
-109.000,0.339232,28
-108.000,0.337196,23
-107.000,0.335140,25
-106.000,0.333548,26
-105.000,0.331761,23
-104.000,0.330167,27
-103.000,0.328850,20
-102.000,0.327602,27
-101.000,0.326239,22
-100.000,0.325232,28
-99.000,0.324187,24
-98.000,0.323346,26
-97.000,0.322567,26
-96.000,0.322109,23
-95.000,0.321614,22
-94.000,0.320800,30
-93.000,0.320489,23
-92.000,0.320163,26
-91.000,0.319907,27
-90.000,0.320000,22
-89.000,0.319913,26
-88.000,0.320022,23
-87.000,0.320125,26
-86.000,0.320472,27
-85.000,0.320910,25
-84.000,0.321281,24
-83.000,0.321833,24
-82.000,0.322446,28
-81.000,0.323406,24
-80.000,0.324198,24
-79.000,0.325134,28
-78.000,0.326114,22
-77.000,0.327210,25
-76.000,0.328413,26
-75.000,0.329750,26
-74.000,0.331375,26
-73.000,0.333090,25
-72.000,0.334815,27
-71.000,0.336875,28
-70.000,0.338844,24
-69.000,0.340521,24
-68.000,0.343087,26
-67.000,0.345288,26
-66.000,0.348192,26
-65.000,0.350590,25
-64.000,0.353312,24
-63.000,0.356383,30
-62.000,0.359708,24
-61.000,0.362990,25
-60.000,0.366315,27
-59.000,0.370955,28
-58.000,0.374143,21
-57.000,0.378062,28
-56.000,0.382633,30
-55.000,0.387076,23
-54.000,0.391385,26
-53.000,0.397241,27
-52.000,0.403125,26
-51.000,0.408375,26
-50.000,0.413917,24
-49.000,0.419290,25
-48.000,0.426661,31
-47.000,0.433760,25
-46.000,0.440380,25
-45.000,0.447692,26
-44.000,0.455852,27
-43.000,0.464750,27
-42.000,0.472833,24
-41.000,0.481933,26
-40.000,0.491221,26
-39.000,0.502000,26
-38.000,0.513348,28
-37.000,0.525452,26
-36.000,0.542040,25
-35.000,0.547234,16
-34.000,0.564481,26
-33.000,0.580767,29
-32.000,0.598846,26
-31.000,0.614430,25
-30.000,0.631390,25
-29.000,0.656612,29
-28.000,0.681571,14
-27.000,0.700673,26
-26.000,nan,0
-25.000,nan,0
-24.000,0.207000,2
-23.000,0.207639,9
-22.000,0.210750,6
-21.000,nan,0
-20.000,nan,0
-19.000,nan,0
-18.000,nan,0
-17.000,nan,0
-16.000,nan,0
-15.000,nan,0
-14.000,nan,0
-13.000,nan,0
-12.000,nan,0
-11.000,nan,0
-10.000,nan,0
-9.000,nan,0
-8.000,nan,0
-7.000,nan,0
-6.000,nan,0
-5.000,nan,0
-4.000,nan,0
-3.000,nan,0
-2.000,nan,0
-1.000,nan,0
