scan_index,t_s,x_m,y_m,yaw_rad,confidence,median_submap_residual_m,median_wall_residual_m,valid_correspondence_count
0,1774760568.890806437,0.000000,-0.159347,0.050954,high,,0.131601,0
1,1774760568.967439175,-0.005825,-0.185406,0.057097,high,0.034790,0.157073,57
2,1774760569.043625116,-0.006662,-0.188930,0.059050,high,0.023204,0.159891,56
3,1774760569.119953632,-0.006342,-0.188517,0.058527,high,0.016564,0.160350,57
4,1774760569.171935797,-0.006527,-0.187150,0.053998,high,0.007043,0.151788,57
5,1774760569.248188257,-0.008128,-0.187405,0.058978,high,0.002582,0.157729,57
6,1774760569.325520039,-0.017311,-0.169461,0.041076,high,0.012537,0.134074,57
7,1774760569.401776314,-0.003940,-0.176737,0.058002,high,0.010311,0.146558,56
8,1774760569.478206396,0.014723,-0.168382,0.066854,high,0.012979,0.139485,56
9,1774760569.554994106,0.026213,-0.170293,0.058183,high,0.009983,0.138742,58
10,1774760569.631979227,0.010044,-0.167649,0.055855,high,0.009925,0.131739,57
11,1774760569.683565378,0.028871,-0.167945,0.067256,high,0.006992,0.139094,56
12,1774760569.760589123,0.029248,-0.167092,0.061796,high,0.016554,0.140319,57
13,1774760569.837591171,0.028777,-0.167436,0.054030,high,0.006913,0.134242,56
14,1774760569.913630009,0.018503,-0.165871,0.054812,high,0.005710,0.137263,57
15,1774760569.990684509,0.013951,-0.166685,0.051938,high,0.004066,0.139633,58
16,1774760570.066649675,0.029429,-0.165376,0.063470,high,0.006527,0.132421,57
17,1774760570.119291782,0.022362,-0.169041,0.051013,high,0.006717,0.137703,58
18,1774760570.196473598,0.060075,-0.167950,0.049648,high,0.004592,0.133096,57
19,1774760570.273146868,0.097676,-0.165425,0.047559,high,0.004759,0.138089,57
20,1774760570.349589825,0.129944,-0.165142,0.049341,high,0.007794,0.147613,58
21,1774760570.425799608,0.180901,-0.164687,0.043547,high,0.006289,0.152765,58
22,1774760570.502248764,0.224466,-0.166415,0.029884,high,0.006642,0.153231,57
23,1774760570.579557180,0.275045,-0.170154,0.014746,high,0.007373,0.163424,56
24,1774760570.630965710,0.337923,-0.168186,0.012792,high,0.010881,0.160523,57
25,1774760570.707773685,0.425736,-0.170980,0.008784,high,0.011776,0.161910,58
26,1774760570.785243511,0.508815,-0.169796,0.000391,high,0.007228,0.160536,58
27,1774760570.861602306,0.591986,-0.170076,0.006841,high,0.009168,0.167224,55
28,1774760570.937090397,0.683725,-0.174624,-0.005769,high,0.007057,0.158991,56
29,1774760571.014528751,0.764682,-0.178714,-0.024691,high,0.007852,0.162136,57
30,1774760571.090621233,0.872856,-0.180758,-0.027102,high,0.009060,0.161650,57
31,1774760571.143490553,0.960494,-0.194625,-0.047336,high,0.009031,0.154935,57
32,1774760571.219625235,1.074689,-0.207289,-0.063012,high,0.011741,0.149470,57
33,1774760571.296820879,1.181464,-0.220812,-0.072869,high,0.010220,0.151601,54
34,1774760571.374106407,1.291522,-0.240194,-0.083430,high,0.014704,0.158710,57
35,1774760571.449612856,1.414407,-0.254615,-0.113099,high,0.012351,0.154821,57
36,1774760571.526694536,1.535545,-0.274080,-0.132193,high,0.010829,0.156454,55
37,1774760571.602916956,1.645675,-0.291549,-0.120446,high,0.009938,0.169626,54
38,1774760571.680634737,1.749903,-0.306764,-0.140434,high,0.009510,0.182669,57
39,1774760571.732402086,1.850888,-0.324562,-0.142404,high,0.008372,0.233644,56
40,1774760571.809579611,1.950035,-0.339621,-0.150483,high,0.006895,0.197377,57
41,1774760571.886139154,2.038221,-0.363570,-0.145937,high,0.006976,0.265965,56
42,1774760571.962363958,2.129604,-0.377845,-0.116102,high,0.012934,0.345235,52
43,1774760572.038458824,2.201798,-0.372661,-0.053583,high,0.009627,0.178501,52
44,1774760572.116051674,2.256431,-0.349700,0.020790,high,0.007139,0.166524,51
45,1774760572.192538261,2.259246,-0.341048,0.044727,high,0.006250,0.167715,59
46,1774760572.268789768,2.242796,-0.345289,0.049097,high,0.004100,0.170607,56
47,1774760572.345379591,2.222908,-0.346135,0.034037,high,0.004703,0.171844,56
48,1774760572.422870159,2.205899,-0.350058,0.027058,high,0.005957,0.174385,57
49,1774760572.499626875,2.190772,-0.347754,0.030676,high,0.006593,0.173035,55
50,1774760572.575751543,2.181898,-0.348475,0.034516,high,0.006677,0.174844,57
51,1774760572.628085375,2.179386,-0.349417,0.019251,high,0.006095,0.170660,55
52,1774760572.705210924,2.178121,-0.349134,0.017715,high,0.003152,0.169919,54
53,1774760572.781160593,2.179156,-0.350689,0.018838,high,0.004409,0.171087,54
54,1774760572.858144522,2.173589,-0.357345,0.034429,high,0.007190,0.181105,54
55,1774760572.935266733,2.174682,-0.351937,0.020616,high,0.004149,0.173658,54
56,1774760573.011212349,2.176036,-0.351279,0.014987,high,0.001579,0.171977,53
57,1774760573.088195801,2.175906,-0.352391,0.012221,high,0.004049,0.172020,54
58,1774760573.164152145,2.173871,-0.350763,0.003651,high,0.004050,0.170344,55
59,1774760573.216796160,2.174462,-0.349855,0.008206,high,0.003047,0.168961,54
60,1774760573.292767525,2.174323,-0.349239,0.010446,high,0.003700,0.169028,54
61,1774760573.369733334,2.176243,-0.351988,0.019850,high,0.003770,0.175009,54
62,1774760573.446733952,2.165470,-0.348269,0.002931,high,0.005804,0.166438,53
63,1774760573.523495674,2.167214,-0.348842,0.004257,high,0.002444,0.167981,53
64,1774760573.600511074,2.169885,-0.349975,0.005195,high,0.002354,0.168921,53
65,1774760573.676379919,2.169004,-0.349963,0.005893,high,0.001142,0.168753,53
66,1774760573.728957653,2.170093,-0.350329,0.006945,high,0.000625,0.169726,53
67,1774760573.804797173,2.164918,-0.350375,0.031047,high,0.007031,0.172672,52
68,1774760573.881688595,2.164295,-0.352808,-0.011589,high,0.007297,0.169318,54
69,1774760573.958856583,2.174457,-0.348538,0.034435,high,0.006815,0.173200,54
70,1774760574.035866499,2.173604,-0.355097,0.006274,high,0.005886,0.174415,54
71,1774760574.112791300,2.173409,-0.354743,0.010169,high,0.003145,0.174965,54
72,1774760574.164319754,2.171446,-0.352196,0.027354,high,0.003962,0.174961,53
73,1774760574.240842581,2.169626,-0.350682,0.032525,high,0.003734,0.174471,55
74,1774760574.316669703,2.172606,-0.353673,0.009585,high,0.002046,0.173055,54
75,1774760574.394040585,2.174559,-0.352728,0.012396,high,0.002135,0.172748,54
76,1774760574.471055984,2.173597,-0.351395,0.021617,high,0.002376,0.172726,53
77,1774760574.547432661,2.175113,-0.353871,0.020916,high,0.007462,0.176009,54
78,1774760574.624539137,2.171070,-0.352725,0.014485,high,0.002876,0.173214,54
79,1774760574.676085472,2.173583,-0.352473,0.013021,high,0.001480,0.172380,54
