stamp_sec,stamp_nanosec,ax_mps2,ay_mps2,az_mps2,gx_rps,gy_rps,gz_rps
1774760568,859502588,0.019124,0.007613,9.720864,0.007457,-0.096939,-0.044741
1774760568,877502995,0.025499,0.010151,9.725787,0.008522,-0.094809,-0.042611
1774760568,895538069,0.030507,0.011490,9.727464,0.006392,-0.1012,-0.04048
1774760568,913537958,0.035265,0.013786,9.730921,0.008522,-0.103331,-0.044741
1774760568,931529810,0.040167,0.013140,9.736446,0.008522,-0.103331,-0.044741
1774760568,949526051,0.041434,0.009500,9.736421,0.007457,-0.095874,-0.042611
1774760568,967549847,0.037974,0.004357,9.736729,0.009587,-0.100135,-0.039415
1774760568,985540680,0.034884,-0.000822,9.737395,0.009587,-0.106526,-0.043676
1774760569,3489051,0.033006,-0.008065,9.738474,0.006392,-0.103331,-0.044741
1774760569,21487939,0.031784,-0.016379,9.737463,0.007457,-0.098004,-0.044741
1774760569,39482384,0.031115,-0.022167,9.736872,0.010653,-0.1012,-0.041545
1774760569,57495254,0.031343,-0.025912,9.734057,0.009587,-0.103331,-0.042611
1774760569,75466217,0.033485,-0.027925,9.738162,0.005326,-0.106526,-0.045806
1774760569,93484606,0.036323,-0.028375,9.740450,0.006392,-0.09907,-0.045806
1774760569,111490162,0.038396,-0.028597,9.741111,0.010653,-0.098004,-0.042611
1774760569,129497421,0.042971,-0.028607,9.740202,0.008522,-0.1012,-0.042611
1774760569,147495680,0.047336,-0.027510,9.743531,0.009587,-0.092678,-0.046872
1774760569,165488773,0.051057,-0.025214,9.745492,0.006392,-0.09907,-0.039415
1774760569,183502050,0.054443,-0.021527,9.741059,0.004261,-0.105461,-0.041545
1774760569,201494254,0.057778,-0.016143,9.740936,0.007457,-0.103331,-0.043676
1774760569,219490458,0.060340,-0.005620,9.745412,0.006392,-0.093743,-0.045806
1774760569,237495810,0.062345,0.003038,9.743489,0.008522,-0.098004,-0.041545
1774760569,255505087,0.063360,0.007859,9.736502,0.006392,-0.104396,-0.04048
1774760569,273500865,0.064069,0.011938,9.735740,0.007457,-0.102265,-0.044741
1774760569,291497902,0.064530,0.016613,9.740641,0.007457,-0.098004,-0.045806
1774760569,309500106,0.064184,0.021276,9.740240,0.007457,-0.096939,-0.042611
1774760569,327513069,0.062402,0.021726,9.734505,0.006392,-0.102265,-0.039415
1774760569,345498587,0.063128,0.023588,9.734330,0.006392,-0.103331,-0.043676
1774760569,363501421,0.066420,0.022328,9.739700,0.008522,-0.102265,-0.046872
1774760569,381501254,0.068464,0.017841,9.740888,0.007457,-0.094809,-0.043676
1774760569,399503347,0.068233,0.012446,9.739788,0.008522,-0.100135,-0.041545
1774760569,417509828,0.070994,0.005694,9.740498,0.008522,-0.104396,-0.043676
1774760569,435482661,0.071690,-0.002978,9.742778,0.009587,-0.106526,-0.044741
1774760569,453506569,0.069782,-0.014192,9.742927,0.009587,-0.098004,-0.044741
1774760569,471479735,0.065109,-0.023896,9.743453,0.004261,-0.106526,-0.043676
1774760569,489537513,0.066960,-0.031999,9.744398,0.007457,-0.102265,-0.045806
1774760569,507530698,0.065811,-0.038380,9.745842,0.008522,-0.091613,-0.043676
1774760569,525497569,0.063961,-0.042473,9.746708,0.009587,-0.1012,-0.04048
1774760569,543523846,0.064150,-0.044618,9.747067,0.005326,-0.106526,-0.043676
1774760569,561530346,0.066392,-0.044994,9.746951,0.005326,-0.102265,-0.043676
1774760569,579525217,0.067982,-0.042636,9.749441,0.008522,-0.092678,-0.044741
1774760569,597529402,0.070150,-0.034953,9.747463,0.006392,-0.100135,-0.04048
1774760569,615531680,0.073076,-0.023698,9.741750,0.005326,-0.104396,-0.041545
1774760569,633508698,0.077004,-0.007934,9.738209,0.008522,-0.104396,-0.043676
1774760569,651530828,0.078370,0.005374,9.739939,0.009587,-0.098004,-0.045806
1774760569,669620272,0.078187,0.016934,9.737307,0.007457,-0.1012,-0.041545
1774760569,687538217,0.076439,0.026115,9.730094,0.006392,-0.106526,-0.041545
1774760569,705530217,0.073580,0.035278,9.727474,0.008522,-0.102265,-0.044741
1774760569,723536346,0.069369,0.043589,9.725738,0.009587,-0.098004,-0.044741
1774760569,741512420,0.063658,0.051743,9.724741,0.005326,-0.096939,-0.041545
1774760569,759532217,0.060458,0.059918,9.724699,0.008522,-0.105461,-0.041545
1774760569,777521420,0.059502,0.071390,9.725809,0.009587,-0.09907,-0.042611
1774760569,795519606,0.058717,0.089510,9.727964,0.008522,-0.094809,-0.041545
1774760569,813520717,0.058037,0.115788,9.731342,0.006392,-0.104396,-0.041545
1774760569,831537476,0.057404,0.153011,9.736226,0.007457,-0.105461,-0.044741
1774760569,849557828,0.056767,0.204282,9.739132,0.006392,-0.096939,-0.042611
1774760569,867529050,0.052780,0.270881,9.740302,0.008522,-0.093743,-0.043676
1774760569,885540513,0.045111,0.358357,9.739834,0.008522,-0.102265,-0.041545
1774760569,903548494,0.040303,0.474899,9.741180,0.005326,-0.108657,-0.044741
1774760569,921531235,0.037657,0.629319,9.744452,0.008522,-0.100135,-0.043676
1774760569,939527531,0.029470,0.834486,9.750522,0.012783,-0.089482,-0.045806
1774760569,957549680,0.022541,1.085053,9.759297,0.025566,-0.082025,-0.037284
1774760569,975550420,0.016294,1.271415,9.771507,0.005326,-0.090547,-0.062851
1774760569,993554828,0.010208,1.407805,9.768020,0.013848,-0.108657,-0.06072
1774760570,11545605,0.004075,1.505591,9.748545,0.011718,-0.085221,-0.076699
1774760570,29526587,0.000176,1.574217,9.711458,0.012783,-0.098004,-0.087352
1774760570,47558457,-0.003308,1.619202,9.686291,0.02024,-0.102265,-0.084156
1774760570,65551828,-0.006670,1.650980,9.670946,0.003196,-0.120375,-0.068177
1774760570,83539402,-0.010188,1.673595,9.664144,0.004261,-0.104396,-0.084156
1774760570,101527346,-0.003083,1.688931,9.665319,0.008522,-0.086286,-0.090547
1774760570,119561976,0.004164,1.698267,9.669579,-0.007457,-0.102265,-0.087352
1774760570,137561420,0.012656,1.702380,9.672892,0.007457,-0.118244,-0.094809
1774760570,155530976,0.023101,1.701613,9.675533,0.005326,-0.093743,-0.110788
1774760570,173560587,0.036368,1.694008,9.677722,0.002131,-0.120375,-0.135289
1774760570,191565550,0.030719,1.678930,9.668170,0.066046,-0.027697,-0.123571
1774760570,209550216,0.028528,1.655123,9.657551,-0.035154,-0.135289,-0.122505
1774760570,227539624,0.044576,1.649632,9.656854,0.026632,-0.126766,-0.106526
1774760570,245569161,0.080200,1.639754,9.666020,-0.034088,-0.137419,-0.112918
1774760570,263554272,0.107843,1.627858,9.665562,0.011718,-0.136354,-0.094809
1774760570,281545531,0.129809,1.612953,9.675692,0.011718,-0.083091,-0.089482
1774760570,299552939,0.140744,1.593796,9.677004,-0.021305,-0.111853,-0.089482
1774760570,317565328,0.141562,1.568792,9.669606,0.052198,-0.066046,-0.110788
1774760570,335550698,0.139512,1.535956,9.673933,0.018109,-0.06072,-0.11931
1774760570,353582439,0.143301,1.510907,9.690343,0.030893,-0.079895,-0.108657
1774760570,371567513,0.153247,1.473203,9.684093,0.043676,-0.11931,-0.108657
1774760570,389572198,0.170177,1.438056,9.690773,-0.028762,-0.064981,-0.113983
1774760570,407573939,0.176847,1.402539,9.674829,-0.033023,-0.105461,-0.106526
1774760570,425540420,0.173814,1.361098,9.622561,-0.02024,-0.11931,-0.094809
1774760570,443576790,0.160825,1.310278,9.541983,0.019175,0.014914,-0.091613
1774760570,461577902,0.136796,1.265897,9.505290,-0.011718,-0.084156,-0.108657
1774760570,479578679,0.117883,1.208196,9.446576,0.017044,-0.11931,-0.105461
1774760570,497573253,0.102509,1.148426,9.423796,-0.007457,-0.110788,-0.11931
1774760570,515581346,0.089392,1.106048,9.435052,-0.05859,-0.183225,-0.11931
1774760570,533545587,0.077439,1.077530,9.462128,-0.014914,-0.046872,-0.090547
1774760570,551560161,0.065655,1.060497,9.463586,-0.024501,-0.11931,-0.098004
1774760570,569583290,0.056150,1.053527,9.483242,0.017044,-0.037284,-0.134223
1774760570,587564642,0.048132,1.060530,9.472257,0.026632,-0.06072,-0.147006
1774760570,605586698,0.044823,1.043882,9.429714,-0.014914,-0.136354,-0.135289
1774760570,623586846,0.036570,1.025339,9.407036,-0.017044,-0.036219,-0.118244
1774760570,641594698,0.032063,1.003356,9.402332,-0.051133,-0.089482,-0.092678
1774760570,659580957,0.021549,0.984282,9.415212,0.021305,-0.086286,-0.092678
1774760570,677581827,0.013529,0.960142,9.446747,0.0,-0.118244,-0.100135
1774760570,695571235,0.015116,0.928925,9.499566,-0.025566,-0.148072,-0.131028
1774760570,713596624,0.026442,0.894413,9.519113,-0.022371,-0.158724,-0.117179
1774760570,731586827,0.013934,0.853732,9.528166,-0.031958,-0.129962,-0.1012
1774760570,749589235,0.018749,0.818554,9.527480,0.026632,-0.088417,-0.111853
1774760570,767587642,0.031012,0.798617,9.525476,0.057524,0.015979,-0.156594
1774760570,785588975,0.019822,0.792259,9.513509,-0.037284,-0.064981,-0.160855
1774760570,803587735,-0.015753,0.798951,9.499060,0.056459,-0.123571,-0.142745
1774760570,821571327,-0.047852,0.819251,9.480925,-0.044741,-0.043676,-0.1012
1774760570,839593216,-0.079151,0.852755,9.457594,0.017044,-0.075634,-0.120375
1774760570,857585920,-0.112257,0.881805,9.466326,0.03835,-0.104396,-0.143811
1774760570,875596494,-0.149929,0.908822,9.507850,0.018109,-0.14168,-0.137419
1774760570,893596605,-0.195307,0.936056,9.489060,0.009587,-0.102265,-0.109722
1774760570,911596994,-0.240999,0.903828,9.504955,0.064981,-0.164051,-0.135289
1774760570,929578549,-0.278045,0.871402,9.460296,0.085221,0.013848,-0.171508
1774760570,947606068,-0.306138,0.774126,9.351359,-0.068177,-0.087352,-0.167247
1774760570,965602920,-0.322733,0.717119,9.285485,0.072438,-0.04048,-0.13955
1774760570,983598364,-0.329211,0.689745,9.257184,-0.062851,-0.003196,-0.104396
1774760571,1598327,-0.308955,0.689722,9.249733,0.084156,-0.181095,-0.143811
1774760571,19603735,-0.277435,0.694404,9.262512,0.049002,-0.165116,-0.152333
1774760571,37594401,-0.214866,0.706176,9.273639,-0.051133,-0.275903,-0.138484
1774760571,55601994,-0.154939,0.724024,9.284043,0.008522,0.006392,-0.120375
1774760571,73622901,-0.053755,0.746541,9.317535,0.090547,-0.023436,-0.170442
1774760571,91608642,0.058212,0.775605,9.353961,-0.047937,0.010653,-0.184291
1774760571,109608512,0.190293,0.798275,9.437259,0.085221,-0.185356,-0.157659
1774760571,127603697,0.278078,0.807861,9.574369,-0.055394,-0.055394,-0.127832
1774760571,145603790,0.328882,0.805161,9.785596,0.046872,-0.213053,-0.151268
1774760571,163600660,0.340055,0.789951,9.908777,-0.017044,-0.177899,-0.16192
