angle_deg,range_m,count
0.000,nan,0
-1.000,nan,0
-2.000,nan,0
-3.000,nan,0
-4.000,nan,0
-5.000,nan,0
-6.000,nan,0
-7.000,nan,0
-8.000,nan,0
-9.000,nan,0
-10.000,nan,0
-11.000,nan,0
-12.000,nan,0
-13.000,nan,0
-14.000,nan,0
-15.000,nan,0
-16.000,nan,0
-17.000,nan,0
-18.000,nan,0
-19.000,nan,0
-20.000,nan,0
-21.000,nan,0
-22.000,nan,0
-23.000,nan,0
-24.000,nan,0
-25.000,nan,0
-26.000,nan,0
-27.000,nan,0
-28.000,nan,0
-29.000,nan,0
-30.000,nan,0
-31.000,nan,0
-32.000,nan,0
-33.000,nan,0
-34.000,nan,0
-35.000,nan,0
-36.000,nan,0
-37.000,nan,0
-38.000,nan,0
-39.000,1.385940,21
-40.000,1.373429,28
-41.000,1.341268,27
-42.000,1.306657,27
-43.000,1.281805,32
-44.000,1.257965,29
-45.000,1.240043,29
-46.000,1.223288,26
-47.000,1.209437,28
-48.000,1.188879,31
-49.000,1.170867,30
-50.000,1.155083,27
-51.000,1.143991,28
-52.000,1.129181,29
-53.000,1.115208,30
-54.000,1.102767,29
-55.000,1.091054,28
-56.000,1.079429,28
-57.000,1.070104,29
-58.000,1.059545,28
-59.000,1.057625,12
-60.000,0.739284,22
-61.000,0.719907,27
-62.000,0.707267,30
-63.000,0.699167,30
-64.000,0.693731,26
-65.000,0.686810,29
-66.000,0.681150,30
-67.000,0.692629,31
-68.000,0.718000,27
-69.000,0.748318,33
-70.000,0.783450,30
-71.000,0.789813,28
-72.000,0.778583,27
-73.000,0.678650,25
-74.000,0.633571,28
-75.000,0.642647,29
-76.000,0.652323,31
-77.000,0.656043,29
-78.000,0.637615,26
-79.000,0.600017,29
-80.000,0.608250,29
-81.000,0.616431,29
-82.000,0.620523,33
-83.000,0.651500,27
-84.000,0.652992,31
-85.000,0.662545,33
-86.000,0.643560,25
-87.000,0.633107,28
-88.000,0.668348,33
-89.000,0.670437,28
-90.000,0.668138,29
-91.000,0.667696,28
-92.000,0.670442,30
-93.000,0.671782,31
-94.000,0.645154,26
-95.000,0.636152,28
-96.000,0.625827,26
-97.000,0.629218,31
-98.000,0.631453,32
-99.000,0.633315,27
-100.000,0.635183,30
-101.000,0.636946,28
-102.000,0.639282,31
-103.000,0.642438,28
-104.000,0.645000,27
-105.000,0.647141,32
-106.000,0.650325,30
-107.000,0.653657,27
-108.000,0.656098,28
-109.000,0.660054,28
-110.000,0.664452,31
-111.000,0.668460,31
-112.000,0.673667,27
-113.000,0.677819,29
-114.000,0.682908,30
-115.000,0.688460,31
-116.000,0.693861,27
-117.000,0.699783,30
-118.000,0.705862,29
-119.000,0.713711,32
-120.000,0.719173,26
-121.000,0.726483,29
-122.000,0.734040,31
-123.000,0.742567,30
-124.000,0.750389,27
-125.000,0.755850,30
-126.000,0.766790,31
-127.000,0.774509,28
-128.000,0.838517,30
-129.000,0.840540,31
-130.000,0.824452,26
-131.000,0.815250,32
-132.000,0.824070,25
-133.000,0.838250,32
-134.000,0.865125,32
-135.000,0.901902,28
-136.000,0.896620,27
-137.000,0.896350,30
-138.000,0.911345,29
-139.000,0.922242,30
-140.000,0.931821,28
-141.000,0.949250,32
-142.000,0.980194,9
-143.000,nan,0
-144.000,nan,0
-145.000,nan,0
-146.000,2.286125,8
-147.000,2.266198,29
-148.000,2.243212,26
-149.000,2.216233,29
-150.000,2.204750,29
-151.000,2.185133,17
-152.000,2.174375,28
-153.000,2.151009,28
-154.000,2.127802,29
-155.000,2.097403,31
-156.000,2.084905,29
-157.000,2.072788,26
-158.000,2.045683,30
-159.000,2.032083,30
-160.000,2.013750,30
-161.000,1.999093,27
-162.000,1.993639,27
-163.000,1.971903,31
-164.000,1.963637,31
-165.000,1.950019,27
-166.000,1.945565,27
-167.000,1.937953,32
-168.000,1.930352,27
-169.000,1.923578,32
-170.000,1.920356,26
-171.000,1.915491,28
-172.000,1.907500,31
-173.000,1.904435,31
-174.000,1.905482,28
-175.000,1.951917,27
-176.000,1.947517,29
-177.000,1.945405,29
-178.000,1.948694,31
-179.000,1.943518,28
-180.000,1.940518,27
179.000,1.918600,30
178.000,1.772848,28
177.000,1.758242,30
176.000,1.751857,28
175.000,1.764714,28
174.000,1.875798,31
173.000,1.950702,31
172.000,1.958231,27
171.000,1.976383,30
170.000,1.903045,28
169.000,1.728759,27
168.000,1.576358,30
167.000,1.452846,26
166.000,1.356455,28
165.000,1.270065,27
164.000,1.203440,25
163.000,1.132242,30
162.000,1.059774,31
161.000,1.000571,28
160.000,0.953426,27
159.000,0.910861,27
158.000,0.874130,27
157.000,0.833875,30
156.000,0.802702,26
155.000,0.769968,31
154.000,0.740577,26
153.000,0.715336,29
152.000,0.692510,26
151.000,0.671694,27
150.000,0.650741,28
149.000,0.629525,30
148.000,0.611593,27
147.000,0.593300,30
146.000,0.577315,27
145.000,0.564250,26
144.000,0.549759,29
143.000,0.536472,27
142.000,0.524339,28
141.000,0.513426,27
140.000,0.501283,30
139.000,0.491843,27
138.000,0.482204,27
137.000,0.472500,30
136.000,0.463648,27
135.000,0.455546,27
134.000,0.447583,30
133.000,0.439134,28
132.000,0.432731,27
131.000,0.426402,28
130.000,0.420163,26
129.000,0.413830,28
128.000,0.408000,29
127.000,0.402690,29
126.000,0.397065,27
125.000,0.392155,29
124.000,0.386836,29
123.000,0.382596,26
122.000,0.378885,26
121.000,0.374442,30
120.000,0.370398,27
119.000,0.367442,26
118.000,0.363867,30
117.000,0.360161,31
116.000,0.356806,27
115.000,0.353880,27
114.000,0.351089,28
113.000,0.348345,29
112.000,0.346205,22
111.000,0.343669,31
110.000,0.341164,29
109.000,0.339433,26
108.000,0.337203,32
107.000,0.335046,27
106.000,0.333792,24
105.000,0.332017,30
104.000,0.330233,30
103.000,0.328964,28
102.000,0.327643,28
101.000,0.326073,31
100.000,0.325000,25
99.000,0.324241,29
98.000,0.323431,29
97.000,0.322711,32
96.000,0.322146,24
95.000,0.321442,30
94.000,0.320889,27
93.000,0.320491,27
92.000,0.320266,31
91.000,0.320125,30
90.000,0.320214,28
89.000,0.319920,25
88.000,0.319882,34
87.000,0.320111,27
86.000,0.320483,29
85.000,0.320865,24
84.000,0.321383,30
83.000,0.321667,27
82.000,0.322358,30
81.000,0.323292,30
80.000,0.324063,28
79.000,0.325258,32
78.000,0.326250,25
77.000,0.327333,30
76.000,0.328702,31
75.000,0.330138,29
74.000,0.331509,28
73.000,0.333054,28
72.000,0.334875,30
71.000,0.336808,30
70.000,0.338973,28
69.000,0.340823,31
68.000,0.343089,28
67.000,0.345225,30
66.000,0.348100,30
65.000,0.350782,31
64.000,0.353241,29
63.000,0.356535,29
62.000,0.359442,30
61.000,0.363219,32
60.000,0.366324,27
59.000,0.370613,31
58.000,0.374664,32
57.000,0.378481,27
56.000,0.382548,31
55.000,0.387159,33
54.000,0.391771,24
53.000,0.396345,29
52.000,0.401750,30
51.000,0.407664,32
50.000,0.413708,30
49.000,0.419375,28
48.000,0.426141,32
47.000,0.433367,30
46.000,0.439958,30
45.000,0.447776,29
44.000,0.455718,31
43.000,0.463672,29
42.000,0.472143,28
41.000,0.481573,31
40.000,0.491621,29
39.000,0.502083,30
38.000,0.512862,29
37.000,0.524453,32
36.000,0.540398,27
35.000,0.549625,16
34.000,0.564573,31
33.000,0.579552,29
32.000,0.595952,31
31.000,0.614306,31
30.000,0.631527,28
29.000,0.655141,32
28.000,0.682167,12
27.000,0.702926,27
26.000,nan,0
25.000,nan,0
24.000,nan,0
23.000,0.210125,8
22.000,0.214437,8
21.000,nan,0
20.000,nan,0
19.000,nan,0
18.000,nan,0
17.000,nan,0
16.000,nan,0
15.000,nan,0
14.000,nan,0
13.000,nan,0
12.000,nan,0
11.000,nan,0
10.000,nan,0
9.000,nan,0
8.000,nan,0
7.000,nan,0
6.000,nan,0
5.000,nan,0
4.000,nan,0
3.000,nan,0
2.000,nan,0
1.000,nan,0
