stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps,confidence,median_submap_residual_m,median_wall_residual_m,valid_correspondence_count,alignment_ready,imu_initialized,best_effort_init
1774771447,130290164,-0.012398,-0.007954,0.076962,-0.023838,0.006228,0.000819,unknown,,,,0,0,0
1774771447,205306625,-0.008265,-0.007388,0.089279,-0.026015,0.007434,0.001272,high,0.011734737188633777,0.008441685772129337,56,1,1,0
1774771447,282810707,0.009371,-0.001577,0.096775,-0.028029,0.008862,0.000533,high,0.001800797131376403,0.004480677191156968,54,1,1,0
1774771447,359862501,0.018673,-0.000538,0.110841,-0.028604,0.011469,-0.000106,high,0.003430591016960639,0.004837348993615265,56,1,1,0
1774771447,434959016,0.028888,0.003549,0.122533,-0.027129,0.015963,-0.000364,high,0.010368252381275358,0.005927834144555222,55,1,1,0
1774771447,489559369,-0.008787,-0.004994,0.089605,-0.025958,0.017374,0.000087,high,0.00960202888041459,0.009864094349112507,56,1,1,0
1774771447,563604681,-0.000389,-0.003798,0.095962,-0.025903,0.018278,0.000046,high,0.004523335197872751,0.004433656304351774,55,1,1,0
1774771447,641145281,-0.008539,-0.005082,0.090079,-0.026625,0.019689,-0.000295,high,0.006914019632741726,0.004423488523708274,55,1,1,0
1774771447,717834859,0.027397,0.004325,0.121679,-0.025874,0.022310,-0.000649,high,0.0006832872432247681,0.005330980716417577,55,1,1,0
1774771447,794355903,0.016466,-0.001593,0.106261,-0.022945,0.024526,-0.000648,high,0.002641358585944457,0.010141462115912991,55,1,1,0
1774771447,869941113,0.026301,0.005713,0.118958,-0.022151,0.024254,0.000500,high,0.0048427457207247905,0.007642099937901409,56,1,1,0
1774771447,924048419,0.014770,-0.000741,0.105241,-0.023189,0.024126,0.000186,high,0.0029554701700643,0.009144386359731638,55,1,1,0
1774771447,999722201,0.026411,0.006150,0.117382,-0.025423,0.024986,0.000344,high,0.0026654812806145385,0.00888494841355214,55,1,1,0
1774771448,75694036,0.033238,0.004965,0.134413,-0.027490,0.027656,-0.000339,high,0.0010880651779812637,0.009037704449101291,55,1,1,0
1774771448,152173663,0.002786,-0.002864,0.091450,-0.026269,0.029347,-0.000575,high,0.010019484344431819,0.011189593377065876,56,1,1,0
1774771448,229493961,-0.002754,-0.005002,0.076169,-0.026273,0.027858,0.000523,high,0.009592923017534297,0.004596456361138396,55,1,1,0
1774771448,280624667,0.026599,0.005663,0.116916,-0.028933,0.027959,-0.000937,high,0.010839890605496106,0.006791681692713214,56,1,1,0
1774771448,358502066,0.035993,0.008330,0.128224,-0.036161,0.063861,-0.008022,high,0.0007673513917560184,0.008338636070098326,54,1,1,0
1774771448,434418833,0.043442,0.007740,0.112972,-0.040541,0.105145,-0.017446,high,0.007454040478924633,0.007566155876276515,55,1,1,0
1774771448,510372617,0.031554,0.006491,0.109677,-0.048969,0.171342,-0.034480,high,0.009568783414341607,0.005501172166363644,57,1,1,0
1774771448,587430364,0.020914,-0.003641,0.075045,-0.055764,0.224105,-0.052849,high,0.007607663575637623,0.004743324781058322,56,1,1,0
1774771448,664199726,0.026919,-0.002354,0.074090,-0.060260,0.270140,-0.064332,high,0.010590580056187687,0.005936957926342412,55,1,1,0
1774771448,716723983,0.034502,-0.000323,0.071767,-0.061637,0.300847,-0.074819,high,0.006819039722024223,0.008622177731351988,57,1,1,0
1774771448,793484790,0.073164,0.004928,0.094847,-0.064724,0.341411,-0.082577,high,0.009845833175515496,0.010496166737802931,57,1,1,0
1774771448,870238579,0.113844,0.006968,0.091487,-0.065318,0.377185,-0.097149,high,0.014052395041208738,0.006278864957248886,58,1,1,0
1774771448,946450192,0.151663,0.002776,0.052375,-0.056353,0.410189,-0.108946,high,0.011905246438886543,0.010515781928618906,57,1,1,0
1774771449,22771754,0.189420,0.001675,0.052623,-0.047216,0.432176,-0.120440,high,0.009904703741751057,0.007332361033802415,57,1,1,0
1774771449,99553511,0.229883,-0.001115,0.028328,-0.042712,0.451975,-0.132490,high,0.009397182123962585,0.007352522079806523,57,1,1,0
1774771449,151387789,0.270503,-0.006496,0.022682,-0.047567,0.466714,-0.140375,high,0.0059156099123797755,0.009108810454634075,57,1,1,0
1774771449,227776533,0.327651,-0.010221,0.004596,-0.047089,0.483906,-0.150948,high,0.007251573508836033,0.012214608047850989,58,1,1,0
1774771449,304468976,0.373869,-0.012539,-0.006410,-0.028631,0.494616,-0.165329,high,0.009445777062013548,0.013770219358950703,57,1,1,0
1774771449,382132923,0.425659,-0.016929,-0.017968,-0.015833,0.506558,-0.172763,high,0.006541114296949263,0.00960087436100418,55,1,1,0
1774771449,458859662,0.478991,-0.020946,-0.023151,-0.013365,0.521859,-0.178810,high,0.006260734439696125,0.013614426888605868,55,1,1,0
1774771449,534552417,0.544898,-0.032449,-0.052862,-0.009631,0.525543,-0.185201,high,0.008116188658438543,0.02213266689179602,54,1,1,0
1774771449,611542022,0.597327,-0.041172,-0.077405,0.021512,0.519574,-0.194861,high,0.007069057240676749,0.025251998323112146,55,1,1,0
1774771449,662831402,0.652449,-0.055155,-0.101211,0.031398,0.516896,-0.194934,high,0.007599806458800463,0.08336211675759092,55,1,1,0
1774771449,740153983,0.726372,-0.064222,-0.110472,0.035010,0.503875,-0.195121,high,0.009717850920377628,0.17427910200390168,56,1,1,0
1774771449,816743780,0.786726,-0.079644,-0.131994,0.044497,0.449167,-0.195372,high,0.008423242230598031,0.20436490762902149,57,1,1,0
1774771449,894172637,0.842393,-0.092288,-0.156833,0.052427,0.366232,-0.178819,high,0.007738635437500904,0.19164454267013514,57,1,1,0
1774771449,971673383,0.895422,-0.106739,-0.165985,0.038811,0.257208,-0.167378,high,0.00644472924654641,0.20344294841024665,58,1,1,0
1774771450,46082933,0.943222,-0.118353,-0.190432,0.029979,0.177574,-0.154753,high,0.010774469685753239,0.20300262023698593,59,1,1,0
1774771450,123451072,0.986819,-0.131213,-0.201421,0.031525,0.101780,-0.143634,high,0.00806090946745373,0.23149774308177926,57,1,1,0
1774771450,200248460,1.022648,-0.144641,-0.211887,0.026572,0.036276,-0.127058,high,0.005974284097392119,0.23927822134738444,56,1,1,0
1774771450,251636604,1.062949,-0.152208,-0.209098,0.016237,-0.007177,-0.120224,high,0.007156843452819506,0.318886627046143,56,1,1,0
1774771450,328543417,1.091152,-0.163657,-0.219569,0.000231,-0.055380,-0.107280,high,0.006515741881508679,0.3335204680109167,58,1,1,0
1774771450,406225051,1.110394,-0.173833,-0.228836,-0.019554,-0.114238,-0.091471,high,0.005603993698203491,0.2904740940623649,58,1,1,0
1774771450,483584172,1.141706,-0.180497,-0.235903,-0.032464,-0.165472,-0.078724,high,0.006918536442393981,0.28305424660578976,57,1,1,0
1774771450,558635807,1.153328,-0.186640,-0.245595,-0.042262,-0.216402,-0.066735,high,0.005818881347510322,0.2871621634680103,58,1,1,0
1774771450,636230591,1.176962,-0.190184,-0.242206,-0.050940,-0.273133,-0.048064,high,0.005110036773239607,0.32325797296922076,58,1,1,0
1774771450,712327415,1.191237,-0.196310,-0.236471,-0.059588,-0.313716,-0.032949,high,0.004075452080979016,0.24718898875131998,57,1,1,0
1774771450,763549044,1.187821,-0.201447,-0.241313,-0.066315,-0.341434,-0.023830,high,0.009279242142971543,0.30193773708948113,58,1,1,0
1774771450,841925428,1.197354,-0.205026,-0.236778,-0.075279,-0.376169,-0.009610,high,0.010858302158207416,0.2636446682205023,58,1,1,0
1774771450,918314229,1.196586,-0.198036,-0.238659,-0.082269,-0.387015,-0.000683,high,0.009592726721130646,0.279358671771952,58,1,1,0
1774771450,995712016,1.188805,-0.199509,-0.229458,-0.085854,-0.363402,0.001711,high,0.0047760822527734195,0.25684884259726726,56,1,1,0
1774771451,70300220,1.206966,-0.200149,-0.204177,-0.086645,-0.337370,0.000739,high,0.005015015950778643,0.26689018060881425,56,1,1,0
1774771451,147081681,1.203859,-0.202405,-0.207474,-0.087268,-0.313956,-0.000209,high,0.009277281541910756,0.29373154837722715,57,1,1,0
1774771451,224718039,1.194357,-0.199755,-0.212129,-0.087235,-0.293428,-0.000509,high,0.003813765653113096,0.29322075207278486,57,1,1,0
1774771451,276105689,1.203160,-0.200791,-0.209883,-0.087550,-0.279970,-0.000124,high,0.005247060708831788,0.32928818271273663,56,1,1,0
1774771451,353250164,1.188323,-0.200871,-0.227892,-0.087562,-0.264035,0.000246,high,0.002727125316416777,0.292568864597614,57,1,1,0
1774771451,430914966,1.193451,-0.198573,-0.231662,-0.086247,-0.243124,-0.000240,high,0.0030443975854265075,0.31685498858320793,58,1,1,0
1774771451,506124800,1.214617,-0.194598,-0.196293,-0.085898,-0.225427,-0.000053,high,0.00350561335834216,0.26639992817321145,57,1,1,0
1774771451,582166660,1.198231,-0.204002,-0.211975,-0.085575,-0.208127,-0.000260,high,0.007580709802712208,0.2905955144962955,57,1,1,0
1774771451,659396319,1.185996,-0.203776,-0.228022,-0.084876,-0.188679,-0.000309,high,0.004053758128883636,0.2974721018358004,57,1,1,0
1774771451,735885525,1.193432,-0.199717,-0.230029,-0.085254,-0.175529,0.000193,high,0.0036841250711791835,0.31582958182050225,57,1,1,0
1774771451,788023962,1.195568,-0.205430,-0.212756,-0.084660,-0.167061,-0.000094,high,0.0020588737727009233,0.2652930074328723,57,1,1,0
1774771451,865821132,1.182429,-0.203697,-0.230702,-0.085179,-0.154696,0.000143,high,0.0029950224836651934,0.30331088825734476,57,1,1,0
1774771451,941256130,1.209667,-0.200379,-0.196192,-0.087515,-0.141372,-0.000136,high,0.0040193576255323805,0.31621943823721066,58,1,1,0
1774771452,17237026,1.198965,-0.201414,-0.213018,-0.089681,-0.127687,-0.000020,high,0.005743627345934026,0.29767095829002627,57,1,1,0
1774771452,94520051,1.186119,-0.202371,-0.232210,-0.091091,-0.112107,0.000313,high,0.0032295921485265286,0.34160822317577016,56,1,1,0
1774771452,171419933,1.172432,-0.211189,-0.236988,-0.092625,-0.101172,-0.000082,high,0.0034021179403774474,0.2646296344513582,58,1,1,0
1774771452,223053585,1.182461,-0.204411,-0.230860,-0.093601,-0.095024,-0.000409,high,0.007596015078497823,0.24693323477446752,57,1,1,0
1774771452,300991362,1.190264,-0.202845,-0.214052,-0.095131,-0.088030,-0.000460,high,0.0011024161811705323,0.3164647883527228,58,1,1,0
1774771452,376425743,1.198212,-0.202046,-0.213252,-0.096714,-0.081181,-0.000855,high,0.0039020837596034147,0.24831869208037494,57,1,1,0
1774771452,454528555,1.185333,-0.203182,-0.232411,-0.096478,-0.073071,-0.000581,high,0.0021435523530320775,0.3404495684683907,56,1,1,0
1774771452,529457442,1.180003,-0.206995,-0.246607,-0.095531,-0.066440,-0.000627,high,0.002448813587470587,0.2637195520240736,57,1,1,0
1774771452,605988662,1.198568,-0.199158,-0.213194,-0.095049,-0.058214,-0.000375,high,0.00508650537224597,0.2823651168679333,56,1,1,0
1774771452,658974057,1.189892,-0.202969,-0.214312,-0.095301,-0.053042,-0.000533,high,0.008115243726214218,0.3261467081375187,58,1,1,0
1774771452,734606843,1.194064,-0.201630,-0.215489,-0.095196,-0.047591,-0.000346,high,0.0008605921265908697,0.24752705957068818,57,1,1,0
1774771452,812090607,1.182951,-0.203427,-0.232950,-0.094216,-0.043484,0.000175,high,0.0024707151085272675,0.29072413465986013,57,1,1,0
1774771452,889863904,1.174478,-0.213631,-0.230031,-0.093064,-0.040001,0.000359,high,0.0024453333105257146,0.26549724500758465,58,1,1,0
1774771452,965625930,1.175566,-0.210792,-0.232320,-0.092054,-0.037950,0.000286,high,0.008614735419584605,0.25466045183100383,57,1,1,0
1774771453,42216526,1.174265,-0.205531,-0.221097,-0.090290,-0.033554,-0.000353,high,0.005908292627639523,0.31459644463319053,58,1,1,0
1774771453,118435335,1.192004,-0.202477,-0.216406,-0.087104,-0.027527,-0.000121,high,0.005639421412149352,0.2714833730678543,56,1,1,0
1774771453,172065578,1.181353,-0.204643,-0.233680,-0.085928,-0.024710,0.000190,high,0.0020005430487926154,0.291823146673164,57,1,1,0
1774771453,247342879,1.173793,-0.212893,-0.230683,-0.084436,-0.020884,0.000346,high,0.002098797320660988,0.26442779774799763,58,1,1,0
1774771453,324326624,1.174464,-0.211321,-0.233260,-0.083822,-0.017840,0.000394,high,0.001609503425115782,0.29123519651338703,56,1,1,0
1774771453,400908985,1.177561,-0.205400,-0.213725,-0.085938,-0.014676,0.000410,high,0.0014031321419358976,0.31375875047229,58,1,1,0
1774771453,478969570,1.190274,-0.202956,-0.217115,-0.088439,-0.008462,0.000482,high,0.008362485830956945,0.27929198620220563,57,1,1,0
1774771453,552942848,1.178556,-0.207654,-0.233240,-0.088640,-0.002935,0.000550,high,0.0018034051264044788,0.2918448362996132,57,1,1,0
1774771453,606182558,1.177421,-0.205053,-0.211039,-0.088591,0.000128,0.000007,high,0.0031043545068856794,0.2644357385525195,57,1,1,0
1774771453,682828048,1.189927,-0.204463,-0.217240,-0.089995,0.002869,-0.000441,high,0.005386549569039468,0.26525769938368937,57,1,1,0
1774771453,758445493,1.178651,-0.209242,-0.232306,-0.091396,0.005036,-0.000583,high,0.0032979945355881704,0.29067559995827874,57,1,1,0
1774771453,837190237,1.170184,-0.204756,-0.213672,-0.092628,0.007802,-0.000393,high,0.0022981646347524027,0.26502314192388254,58,1,1,0
1774771453,913662654,1.191719,-0.204866,-0.216383,-0.094675,0.011384,0.000435,high,0.006694761493583601,0.2666642618563181,57,1,1,0
1774771453,989783057,1.179764,-0.207314,-0.234024,-0.095251,0.015842,0.000339,high,0.0019862534105502356,0.2899813223552959,57,1,1,0
1774771454,65389385,1.170294,-0.204963,-0.215085,-0.093765,0.020218,0.000596,high,0.0033813888624859563,0.26144898106392594,57,1,1,0
1774771454,117786624,1.177108,-0.206620,-0.190885,-0.092879,0.024066,-0.000123,high,0.002019182127773379,0.26546794272045005,57,1,1,0
1774771454,193765574,1.179790,-0.207324,-0.234378,-0.092652,0.028335,-0.000482,high,0.007725676874861104,0.3435159918866125,57,1,1,0
1774771454,271005085,1.180097,-0.205928,-0.214216,-0.093693,0.029186,0.000198,high,0.001260033193837428,0.2619234785028146,57,1,1,0
1774771454,347944618,1.176846,-0.206918,-0.191519,-0.092447,0.026370,-0.000262,high,0.005551284331980607,0.3001927718946389,57,1,1,0
1774771454,424770615,1.159218,-0.201820,-0.198527,-0.090502,0.023304,-0.000322,high,0.0012152001495999492,0.34766575827442225,58,1,1,0
1774771454,501167616,1.169526,-0.205715,-0.215370,-0.088972,0.020510,-0.000079,high,0.0138304343659486,0.33036881780420546,56,1,1,0
1774771454,552733678,1.181316,-0.208493,-0.198362,-0.088081,0.019166,-0.000142,high,0.001183024719998157,0.2651596956228437,57,1,1,0
1774771454,630256816,1.158932,-0.202644,-0.199835,-0.086494,0.017488,0.000012,high,0.006253428589650253,0.3391007752080935,56,1,1,0
1774771454,706164248,1.167079,-0.205825,-0.219013,-0.085607,0.016627,0.000292,high,0.004362160779377868,0.286208691694261,58,1,1,0
1774771454,782459436,1.179414,-0.206153,-0.200107,-0.084776,0.015591,0.000377,high,0.0031402397704391677,0.261588035062089,57,1,1,0
1774771454,860260849,1.179375,-0.203286,-0.186068,-0.083247,0.013565,0.000292,high,0.0027958909628344017,0.2993109013694477,57,1,1,0
1774771454,936226743,1.160898,-0.202276,-0.192556,-0.081847,0.011671,-0.000422,high,0.005304133969598763,0.34197809485637115,58,1,1,0
1774771455,12281793,1.163919,-0.199939,-0.202089,-0.082622,0.012911,0.000304,high,0.0055568517488562875,0.29138818062042826,58,1,1,0
1774771455,65361063,1.166568,-0.201364,-0.190258,-0.083038,0.015124,-0.000097,high,0.006210259139781069,0.3137437753275857,57,1,1,0
1774771455,141148020,1.174181,-0.202394,-0.189045,-0.082787,0.018171,-0.000474,high,0.007901137899744417,0.3487764565425951,56,1,1,0
1774771455,217523787,1.160274,-0.202502,-0.193124,-0.082460,0.020186,-0.000593,high,0.003540257076437255,0.339576101566098,57,1,1,0
1774771455,296055405,1.166145,-0.201684,-0.193149,-0.083823,0.020372,0.000223,high,0.001921610731515333,0.29117925121487714,58,1,1,0
1774771455,371419477,1.169109,-0.201334,-0.189645,-0.085097,0.020418,-0.000832,high,0.0038523773901444477,0.3122614319734201,57,1,1,0
1774771455,448972345,1.155287,-0.205555,-0.207999,-0.086830,0.021778,-0.000203,high,0.0021047091897547503,0.3042294522192286,57,1,1,0
1774771455,501068364,1.155891,-0.204247,-0.194164,-0.087342,0.022363,-0.000048,high,0.00551113409533111,0.2784193624831605,58,1,1,0
1774771455,576721415,1.149310,-0.212836,-0.207696,-0.088612,0.026470,-0.000275,high,0.005033631146851913,0.2576743107024906,57,1,1,0
1774771455,653852397,1.147990,-0.212684,-0.197794,-0.087821,0.030421,0.000198,high,0.010346861593152812,0.2906238916970154,56,1,1,0
1774771455,730089647,1.150465,-0.207618,-0.195122,-0.087344,0.037669,0.000103,high,0.0077190408104413685,0.3284502485148326,58,1,1,0
1774771455,806629153,1.157761,-0.202775,-0.193464,-0.088120,0.041718,0.000055,high,0.004566229815774075,0.28918758465617816,58,1,1,0
1774771455,883697043,1.144804,-0.212023,-0.198989,-0.088696,0.043209,-0.000110,high,0.0038721283680562242,0.3093225509541348,57,1,1,0
1774771455,960696638,1.152250,-0.207351,-0.195969,-0.087821,0.042682,-0.000012,high,0.0031828535798640173,0.33699689119715703,58,1,1,0
1774771456,11991413,1.141847,-0.214110,-0.205881,-0.086658,0.041226,-0.000313,high,0.004849722407237194,0.32699097770171076,56,1,1,0
1774771456,90277428,1.158528,-0.202688,-0.192012,-0.083252,0.038891,-0.000044,high,0.0056196130228451735,0.3081158917264306,56,1,1,0
1774771456,164478605,1.146425,-0.210004,-0.198117,-0.079734,0.038122,-0.000248,high,0.0051843890385683015,0.30187752333788576,57,1,1,0
1774771456,242082532,1.139573,-0.213364,-0.216984,-0.077599,0.036762,0.000094,high,0.0030140116899405192,0.2853076031439244,58,1,1,0
1774771456,318670820,1.140955,-0.213652,-0.216248,-0.077421,0.035173,0.000315,high,0.007432942020422965,0.26200060393453806,57,1,1,0
1774771456,395302995,1.140728,-0.214255,-0.199296,-0.077884,0.032195,-0.000420,high,0.003846129713806834,0.28431406878756715,56,1,1,0
1774771456,448096396,1.145895,-0.209725,-0.185603,-0.077257,0.029706,-0.000550,high,0.003621437259009111,0.3265679986809821,58,1,1,0
1774771456,524159206,1.148173,-0.207780,-0.188125,-0.079504,0.028489,-0.000002,high,0.005563470607367354,0.2967941726480714,58,1,1,0
1774771456,600522754,1.151774,-0.206503,-0.178185,-0.083067,0.030095,-0.000332,high,0.0039558198933686275,0.3222999579851734,57,1,1,0
1774771456,676849784,1.146058,-0.203523,-0.178201,-0.085032,0.031707,-0.000548,high,0.007775520350133308,0.3107219508069189,57,1,1,0
1774771456,754019326,1.143056,-0.210461,-0.187161,-0.084965,0.032289,-0.000637,high,0.011317628261824576,0.34398890050159026,58,1,1,0
