stamp_sec,stamp_nanosec,ax_mps2,ay_mps2,az_mps2,gx_rps,gy_rps,gz_rps
1774760568,859502588,0.345962,0.348356,9.593566,0.007457,-0.096939,-0.044741
1774760568,877502995,0.299275,0.325611,9.706094,0.008522,-0.094809,-0.042611
1774760568,895538069,0.429759,0.446519,9.871294,0.006392,-0.1012,-0.04048
1774760568,913537958,0.447716,0.397437,9.82341,0.008522,-0.103331,-0.044741
1774760568,931529810,0.379481,0.183156,9.647436,0.008522,-0.103331,-0.044741
1774760568,949526051,0.307655,0.454898,9.628283,0.007457,-0.095874,-0.042611
1774760568,967549847,0.444124,0.353145,9.803059,0.009587,-0.100135,-0.039415
1774760568,985540680,0.454898,0.37589,9.73243,0.009587,-0.106526,-0.043676
1774760569,3489051,0.366313,0.209493,9.763555,0.006392,-0.103331,-0.044741
1774760569,21487939,0.351948,0.372298,9.588778,0.007457,-0.098004,-0.044741
1774760569,39482384,0.371101,0.301669,9.838972,0.010653,-0.1012,-0.041545
1774760569,57495254,0.497994,0.287304,9.651027,0.009587,-0.103331,-0.042611
1774760569,75466217,0.296881,0.317232,9.822212,0.005326,-0.106526,-0.045806
1774760569,93484606,0.354342,0.28491,9.619903,0.006392,-0.09907,-0.045806
1774760569,111490162,0.415394,0.544681,9.759963,0.010653,-0.098004,-0.042611
1774760569,129497421,0.391452,0.355539,9.842564,0.008522,-0.1012,-0.042611
1774760569,147495680,0.305261,0.306458,9.689334,0.009587,-0.092678,-0.046872
1774760569,165488773,0.482432,0.215478,9.685743,0.006392,-0.09907,-0.039415
1774760569,183502050,0.401029,0.270545,9.922769,0.004261,-0.105461,-0.041545
1774760569,201494254,0.482432,0.543484,9.822212,0.007457,-0.103331,-0.043676
1774760569,219490458,0.355539,0.397437,9.654618,0.006392,-0.093743,-0.045806
1774760569,237495810,0.413,0.243011,9.661801,0.008522,-0.098004,-0.041545
1774760569,255505087,0.420182,0.365116,9.955091,0.006392,-0.104396,-0.04048
1774760569,273500865,0.477643,0.51595,9.804255,0.007457,-0.102265,-0.044741
1774760569,291497902,0.312443,0.353145,9.581595,0.007457,-0.098004,-0.045806
1774760569,309500106,0.336385,0.344765,9.667787,0.007457,-0.096939,-0.042611
1774760569,327513069,0.427365,0.453701,9.858126,0.006392,-0.102265,-0.039415
1774760569,345498587,0.462081,0.420182,9.831789,0.006392,-0.103331,-0.043676
1774760569,363501421,0.378284,0.248997,9.586384,0.008522,-0.102265,-0.046872
1774760569,381501254,0.300472,0.409408,9.653421,0.007457,-0.094809,-0.043676
1774760569,399503347,0.44173,0.377087,9.78989,0.008522,-0.100135,-0.041545
1774760569,417509828,0.482432,0.37589,9.768343,0.008522,-0.104396,-0.043676
1774760569,435482661,0.332794,0.430956,9.718064,0.009587,-0.106526,-0.044741
1774760569,453506569,0.448913,0.295684,9.721656,0.009587,-0.098004,-0.044741
1774760569,471479735,0.480037,0.316035,9.870096,0.004261,-0.106526,-0.043676
1774760569,489537513,0.306458,0.099359,9.738416,0.007457,-0.102265,-0.045806
1774760569,507530698,0.295684,0.305261,9.752781,0.008522,-0.091613,-0.043676
1774760569,525497569,0.488417,0.282516,9.700109,0.009587,-0.1012,-0.04048
1774760569,543523846,0.420182,0.204704,9.931149,0.005326,-0.106526,-0.043676
1774760569,561530346,0.385466,0.320823,9.803059,0.005326,-0.102265,-0.043676
1774760569,579525217,0.296881,0.270545,9.715671,0.008522,-0.092678,-0.044741
1774760569,597529402,0.520739,0.241814,9.647436,0.006392,-0.100135,-0.04048
1774760569,615531680,0.407014,0.197522,9.938332,0.005326,-0.104396,-0.041545
1774760569,633508698,0.453701,0.464475,9.792285,0.008522,-0.104396,-0.043676
1774760569,651530828,0.337582,0.374693,9.674969,0.009587,-0.098004,-0.045806
1774760569,669620272,0.502782,0.369904,9.668983,0.007457,-0.1012,-0.041545
1774760569,687538217,0.442927,0.393846,9.886856,0.006392,-0.106526,-0.041545
1774760569,705530217,0.435745,0.399832,9.807847,0.008522,-0.102265,-0.044741
1774760569,723536346,0.305261,0.368707,9.560047,0.009587,-0.098004,-0.044741
1774760569,741512420,0.433351,0.556652,9.716867,0.005326,-0.096939,-0.041545
1774760569,759532217,0.379481,0.339977,9.647436,0.008522,-0.105461,-0.041545
1774760569,777521420,0.36751,0.448913,9.713276,0.009587,-0.09907,-0.042611
1774760569,795519606,0.403423,0.312443,9.710882,0.008522,-0.094809,-0.041545
1774760569,813520717,0.451307,0.332794,9.791088,0.006392,-0.104396,-0.041545
1774760569,831537476,0.442927,0.399832,9.759963,0.007457,-0.105461,-0.044741
1774760569,849557828,0.289698,0.201113,9.637859,0.006392,-0.096939,-0.042611
1774760569,867529050,0.356736,0.373495,9.775525,0.008522,-0.093743,-0.043676
1774760569,885540513,0.47884,0.368707,9.710882,0.008522,-0.102265,-0.041545
1774760569,903548494,0.45011,0.357933,9.871294,0.005326,-0.108657,-0.044741
1774760569,921531235,0.277727,0.220267,9.718064,0.008522,-0.100135,-0.043676
1774760569,939527531,0.360327,0.638055,9.706094,0.012783,-0.089482,-0.045806
1774760569,957549680,0.500388,2.756923,9.561244,0.025566,-0.082025,-0.037284
1774760569,975550420,0.227449,2.203863,9.973047,0.005326,-0.090547,-0.062851
1774760569,993554828,0.585382,2.348712,10.157401,0.013848,-0.108657,-0.06072
1774760570,11545605,0.323217,2.219425,9.959879,0.011718,-0.085221,-0.076699
1774760570,29526587,0.356736,1.886631,9.556456,0.012783,-0.098004,-0.087352
1774760570,47558457,0.007183,2.126051,9.52174,0.02024,-0.102265,-0.084156
1774760570,65551828,0.341174,2.206257,9.568427,0.003196,-0.120375,-0.068177
1774760570,83539402,0.426168,2.035071,9.76116,0.004261,-0.104396,-0.084156
1774760570,101527346,0.201113,2.109292,9.628283,0.008522,-0.086286,-0.090547
1774760570,119561976,0.208296,1.788469,9.399636,-0.007457,-0.102265,-0.087352
1774760570,137561420,0.68953,2.434903,9.970653,0.007457,-0.118244,-0.094809
1774760570,155530976,0.335188,2.132037,9.680955,0.005326,-0.093743,-0.110788
1774760570,173560587,1.142034,1.349133,9.818622,0.002131,-0.120375,-0.135289
1774760570,191565550,-0.238223,2.761712,8.281544,0.066046,-0.027697,-0.123571
1774760570,209550216,0.609324,1.78368,10.758346,-0.035154,-0.135289,-0.122505
1774760570,227539624,0.155623,2.173935,8.805874,0.026632,-0.126766,-0.106526
1774760570,245569161,0.083797,1.388637,9.5385,-0.034088,-0.137419,-0.112918
1774760570,263554272,0.924162,2.050634,9.89763,0.011718,-0.136354,-0.094809
1774760570,281545531,0.521936,2.012326,9.781511,0.011718,-0.083091,-0.089482
1774760570,299552939,0.608127,1.258153,9.43914,-0.021305,-0.111853,-0.089482
1774760570,317565328,0.737414,2.033874,10.117896,0.052198,-0.066046,-0.110788
1774760570,335550698,0.341174,2.011129,9.015367,0.018109,-0.06072,-0.11931
1774760570,353582439,-0.138864,1.790863,9.528923,0.030893,-0.079895,-0.108657
