scan_index,stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad,window_id,confidence,inlier_count,median_submap_residual_m,source
0,2,823000000,0.000000000,0.000000000,0.000000000,0,low,0,,window_init
1,2,906000000,-0.000506878,0.000941259,-0.000007832,0,high,180,0.010189192,window_0
2,2,989000000,-0.001757360,0.000662097,-0.000047701,0,high,180,0.007986306,window_0
3,3,72000000,0.000844973,0.001389782,0.000009447,0,high,180,0.006625023,window_0
4,3,155000000,-0.000019995,0.000640392,-0.000058756,0,high,180,0.007084470,window_0
5,3,238000000,0.002512958,-0.000777582,0.000009934,0,high,180,0.008105728,window_0
6,3,321000000,-0.000040480,0.000967272,-0.000006941,0,high,180,0.006661625,window_0
7,3,404000000,-0.002258782,0.000957282,0.000006683,0,high,180,0.005268901,window_0
8,3,487000000,0.002533488,0.000500537,-0.000002637,0,high,180,0.006564715,window_0
9,3,570000000,0.002409377,0.000872300,-0.000023741,0,high,180,0.007231000,window_0
10,3,653000000,0.001169482,0.000192592,0.000065097,0,high,180,0.006746324,window_0
11,3,736000000,0.001536488,0.001729698,0.000008157,0,high,180,0.007773441,window_0
12,3,819000000,0.000067047,0.000727037,0.000020521,0,high,180,0.006876240,window_0
13,3,902000000,0.000151662,0.000083308,0.000052318,0,high,180,0.006801650,window_0
14,3,985000000,-0.000817985,0.000833701,-0.000073619,0,high,180,0.006376367,window_0
15,4,68000000,0.001010164,0.001338363,0.000064521,0,high,180,0.007205426,window_0
16,4,151000000,0.001250859,0.000232111,-0.000040181,0,high,180,0.005911832,window_0
17,4,234000000,0.000216250,-0.000367218,-0.000039866,0,high,180,0.007322831,window_0
18,4,317000000,0.000344980,0.000930623,0.000067325,0,high,180,0.006264346,window_0
19,4,400000000,0.001233607,-0.000328644,0.000062663,0,high,180,0.006480475,window_0
20,4,483000000,0.002532028,0.001712223,0.000022472,0,high,180,0.007152995,window_0
21,4,566000000,0.000933857,0.001878303,0.000084953,0,high,180,0.006655207,window_0
22,4,649000000,0.001619553,0.001579494,-0.000037720,0,high,180,0.007368792,window_0
23,4,732000000,0.000921590,0.000888246,0.000116802,0,high,180,0.006664839,window_0
24,4,815000000,-0.000121200,0.001256224,-0.000000554,0,high,180,0.006516430,window_0
25,4,898000000,0.000617097,0.001573865,0.000034012,0,high,180,0.006205014,window_0
26,4,981000000,0.001838131,0.000505048,-0.000012152,0,high,180,0.006593975,window_0
27,5,64000000,0.000611345,0.001386695,0.000113144,0,high,180,0.007479554,window_0
28,5,147000000,0.002067186,0.000347536,-0.000027951,0,high,180,0.006047931,window_0
29,5,230000000,0.001990578,0.000466678,-0.000025670,0,high,180,0.006948036,window_0
30,5,313000000,0.001376611,0.002469091,0.000008352,0,high,180,0.007176978,window_0
31,5,396000000,-0.000373669,0.003091115,0.000098836,0,high,180,0.005700357,window_0
32,5,479000000,-0.000395654,0.001716076,0.000029853,1,low,0,,window_init
33,5,562000000,0.002379158,0.000030288,-0.000022014,1,high,180,0.007161511,window_1
34,5,645000000,0.000905027,-0.000050790,-0.000092824,1,high,180,0.005843328,window_1
35,5,728000000,0.000705805,0.000426332,-0.000018571,1,high,180,0.005675001,window_1
36,5,811000000,0.001563133,0.000253717,-0.000086190,1,high,180,0.006211802,window_1
37,5,894000000,0.000214286,-0.000224467,-0.000091602,1,high,180,0.006140698,window_1
38,5,977000000,-0.000987616,0.000459561,-0.000037160,1,high,180,0.006350200,window_1
39,6,60000000,0.000479812,-0.001111189,-0.000057010,1,high,180,0.005755951,window_1
40,6,143000000,0.003082128,-0.000475243,0.000016114,1,high,180,0.005990811,window_1
41,6,226000000,0.001940497,0.000022096,-0.000068409,1,high,180,0.006179589,window_1
42,6,309000000,0.001102510,-0.001027389,-0.000009537,1,high,180,0.006240272,window_1
43,6,392000000,0.002072884,-0.000486434,-0.000132738,1,high,180,0.005895554,window_1
44,6,475000000,-0.000105163,-0.000637674,-0.000068811,1,high,180,0.006046463,window_1
45,6,558000000,-0.000286015,0.000580712,-0.000018576,1,high,180,0.006853174,window_1
46,6,641000000,-0.000695463,0.000090250,-0.000063227,1,high,180,0.006583002,window_1
47,6,724000000,-0.000371839,0.000419005,-0.000146197,1,high,180,0.006437773,window_1
48,6,807000000,0.002317635,0.000426213,-0.000032955,1,high,180,0.006595586,window_1
49,6,890000000,0.000415710,0.000355691,-0.000080873,1,high,180,0.005900191,window_1
50,6,973000000,0.002112910,-0.000206166,-0.000036834,1,high,180,0.006240010,window_1
51,7,56000000,0.000905017,-0.000142836,-0.000014204,1,high,180,0.007131337,window_1
52,7,139000000,-0.000870483,0.000310687,-0.000061317,1,high,180,0.006628236,window_1
53,7,222000000,0.000675593,0.000093010,-0.000112558,1,high,180,0.006057679,window_1
54,7,305000000,0.001993487,0.001244855,0.000008950,1,high,180,0.006468133,window_1
55,7,388000000,0.002252967,0.000583069,-0.000065057,1,high,180,0.006782406,window_1
56,7,471000000,-0.000083445,0.000263964,-0.000040039,1,high,180,0.005785890,window_1
57,7,554000000,0.000859913,-0.000764212,-0.000035133,1,high,180,0.006419474,window_1
58,7,637000000,0.003928055,0.000565314,-0.000074786,1,high,180,0.006427085,window_1
59,7,720000000,-0.001781169,0.000167932,-0.000021298,1,high,180,0.006125570,window_1
60,7,803000000,-0.000966465,0.001408850,-0.000063649,1,high,180,0.006067296,window_1
61,7,886000000,0.002473139,0.000022242,-0.000056649,1,high,180,0.006698826,window_1
62,7,969000000,0.003497183,0.000217557,-0.000031870,1,high,180,0.005969734,window_1
63,8,52000000,0.002806072,-0.000921914,0.000055837,1,high,180,0.006395378,window_1
64,8,135000000,0.001572436,0.000406675,-0.000057398,2,low,0,,window_init
65,8,218000000,0.001471544,-0.000774580,-0.000700237,2,high,180,0.006398348,window_2
66,8,301000000,0.001838458,-0.000504521,-0.001355415,2,high,180,0.006061101,window_2
67,8,384000000,-0.000759465,-0.000600665,-0.002022082,2,high,180,0.006235754,window_2
68,8,467000000,-0.002202065,-0.001435073,-0.002676391,2,high,180,0.006585932,window_2
69,8,550000000,-0.001683733,-0.000863187,-0.003361436,2,high,180,0.005567944,window_2
70,8,633000000,-0.003187593,-0.001642790,-0.003981280,2,high,180,0.006396221,window_2
71,8,716000000,-0.001420298,-0.002903851,-0.004628277,2,high,180,0.006432454,window_2
72,8,799000000,-0.003151739,-0.001575133,-0.005264819,2,high,180,0.006221987,window_2
73,8,882000000,-0.004280258,-0.002605242,-0.005958739,2,high,180,0.007146153,window_2
74,8,965000000,-0.002754526,-0.003029281,-0.006585238,2,high,180,0.006615578,window_2
75,9,48000000,-0.000787001,-0.003487384,-0.007207058,2,high,180,0.006362791,window_2
76,9,131000000,-0.002133863,-0.002801536,-0.007897370,2,high,180,0.007796841,window_2
77,9,214000000,-0.004379548,-0.004380499,-0.008534348,2,high,180,0.005849522,window_2
78,9,297000000,-0.002903275,-0.004961806,-0.009182886,2,high,180,0.006369547,window_2
