pose_index,stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad
0,0,426000000,-0.000000000,-2.500000000,-0.000000000
1,4,300000000,0.021608562,-2.500001817,-0.000011231
2,4,400000000,0.048863300,-2.500002527,-0.000013694
3,4,500000000,0.082428058,-2.500004633,-0.000023756
4,4,568000000,0.110973053,-2.500005774,-0.000026127
5,4,667000000,0.137729131,-2.500006173,-0.000024862
6,4,736000000,0.170843902,-2.500009769,-0.000041134
7,4,800000000,0.194644817,-2.500011144,-0.000043747
8,4,834000000,0.216721595,-2.500012124,-0.000043920
9,4,900000000,0.254885835,-2.500017093,-0.000063099
10,4,934000000,0.277004942,-2.500018314,-0.000062061
11,5,0,0.314131788,-2.500019912,-0.000057838
12,5,100000000,0.339576688,-2.500018222,-0.000038857
13,5,200000000,0.364812719,-2.501027515,-0.006423914
14,5,300000000,0.388073386,-2.502237319,-0.012884153
15,5,434000000,0.412410248,-2.503218841,-0.016934608
16,5,534000000,0.438243241,-2.504786674,-0.023862758
17,5,600000000,0.467695839,-2.508788583,-0.043886618
18,5,634000000,0.489427067,-2.512620753,-0.062146720
19,5,700000000,0.517276118,-2.517059306,-0.078980930
20,5,768000000,0.542252113,-2.520859275,-0.090324002
21,5,835000000,0.566535746,-2.523709186,-0.093829079
22,5,901000000,0.591810111,-2.526211897,-0.094713533
23,6,0,0.612164555,-2.528129969,-0.094641622
24,6,100000000,0.633969527,-2.529590860,-0.090571895
25,6,200000000,0.660112464,-2.530908642,-0.083893117
26,6,267000000,0.685448100,-2.530934602,-0.070849972
27,6,367000000,0.720771308,-2.530544275,-0.053404632
28,6,434000000,0.752076454,-2.528687572,-0.032068263
29,6,500000000,0.780978283,-2.526237651,-0.011543525
30,6,568000000,0.808864522,-2.523592737,0.006535963
31,6,634000000,0.837826515,-2.520309755,0.025371802
32,6,700000000,0.863838642,-2.516900775,0.042274537
33,6,770000000,0.889026960,-2.513792400,0.054843448
34,6,834000000,0.910174405,-2.511160453,0.063974172
35,6,934000000,0.936267878,-2.508249167,0.071585684
36,7,100000000,0.961610899,-2.505950377,0.074416397
37,7,167000000,0.985466746,-2.501924087,0.088012440
