stamp_sec,stamp_nanosec,frame_id,child_frame_id,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps
2,469000000,odom_imu_lidar_fused,base_link,-0.006799155,-0.000759082,-0.000558862,-0.052695697,0.012604053,0.001287566
2,789000000,odom_imu_lidar_fused,base_link,-0.006286168,-0.003351116,-0.000090920,0.002060187,-0.010409777,0.000636980
3,84000000,odom_imu_lidar_fused,base_link,-0.008834055,-0.001050173,-0.000101528,-0.010232480,0.009240738,-0.001087706
3,371000000,odom_imu_lidar_fused,base_link,-0.008565943,-0.002953943,-0.000691730,0.000807568,-0.005734248,0.001562183
3,646000000,odom_imu_lidar_fused,base_link,-0.009444267,-0.001957753,-0.000984743,-0.003527406,0.004000763,0.006296501
3,928000000,odom_imu_lidar_fused,base_link,-0.011027125,-0.003838091,0.001537305,-0.004767645,-0.005663669,0.003493261
4,239000000,odom_imu_lidar_fused,base_link,-0.009725024,-0.001074037,-0.000023841,0.005229323,0.011100620,-0.002087330
4,521000000,odom_imu_lidar_fused,base_link,-0.012187787,-0.003657602,0.000466913,-0.007417962,-0.007781824,-0.003092112
4,784000000,odom_imu_lidar_fused,base_link,-0.008977722,-0.000809004,0.000578849,0.012891828,0.011440154,-0.003394341
5,64000000,odom_imu_lidar_fused,base_link,-0.008511454,-0.002312387,-0.000019833,0.001872561,-0.006037683,-0.003572201
5,293000000,odom_imu_lidar_fused,base_link,-0.015195535,-0.001838130,0.000546841,-0.026843697,0.001904645,-0.003095655
5,573000000,odom_imu_lidar_fused,base_link,-0.010698336,-0.000857106,-0.001762076,0.018061041,0.003939856,-0.001565337
5,811000000,odom_imu_lidar_fused,base_link,-0.007414414,-0.001020148,-0.001719967,0.013188440,-0.000654788,0.003659018
6,60000000,odom_imu_lidar_fused,base_link,-0.008107079,-0.000331441,-0.001406691,-0.002781784,0.002765894,-0.001405711
6,329000000,odom_imu_lidar_fused,base_link,-0.004880825,-0.001828011,-0.001188584,0.012956840,-0.006010322,-0.000879680
6,583000000,odom_imu_lidar_fused,base_link,-0.003531348,-0.005761871,-0.000270281,0.004064690,-0.011848976,-0.008353511
6,837000000,odom_imu_lidar_fused,base_link,-0.002047490,0.000325448,-0.000399091,0.005959269,0.024447064,-0.001992072
7,93000000,odom_imu_lidar_fused,base_link,-0.002917676,-0.003741981,-0.000157964,-0.003494723,-0.016335055,0.003645153
7,347000000,odom_imu_lidar_fused,base_link,-0.000146565,-0.000376180,-0.000267902,0.011128963,0.013517274,0.006190466
7,624000000,odom_imu_lidar_fused,base_link,-0.003754595,-0.002964556,-0.000469152,-0.014490082,-0.010395087,0.001095706
7,891000000,odom_imu_lidar_fused,base_link,-0.003580263,-0.002760193,-0.000441503,0.000700128,0.000820737,-0.002127083
8,141000000,odom_imu_lidar_fused,base_link,-0.004692499,-0.003877990,-0.000791453,-0.004466812,-0.004489147,-0.002175971
8,388000000,odom_imu_lidar_fused,base_link,-0.004665244,-0.002204286,-0.000126065,0.000109459,0.006721705,-0.000974023
8,631000000,odom_imu_lidar_fused,base_link,-0.006556350,-0.001793561,-0.000535383,-0.007594803,0.001649498,0.000737597
