x_m,y_m,hit_count
-8.965653131,1.467986442,3
-8.984435730,1.480375933,1
-8.927334500,1.301193575,1
-8.931791555,1.422193468,1
-8.943628684,1.461362115,4
-8.947305724,1.488627204,1
-8.883743648,1.276044280,1
-8.907082742,1.306199234,3
-8.912523622,1.424361575,1
-8.847777282,1.232594636,1
-8.863363714,1.264514577,10
-8.801036190,1.106936210,1
-8.818406433,1.121920324,1
-8.823110334,1.235809521,1
-8.833597695,1.265142462,3
-8.763982305,1.067138254,2
-8.769237554,1.093521653,3
-8.790628142,1.211814315,2
-8.799581299,1.529892626,1
-8.737003103,1.034519630,2
-8.740759970,1.063154194,3
-8.744247579,1.108366548,3
-8.704976979,1.028850888,4
-8.708120656,1.051118715,8
-8.696127555,1.103185710,2
-8.644297078,0.868804215,1
-8.665888188,0.901904621,5
-8.654632409,0.939778588,3
-8.679918348,0.983245721,1
-8.654089362,1.005331205,2
-8.666292494,1.061531972,2
-8.658902941,1.088966751,2
-8.640751630,1.503422135,1
-8.629689004,0.871511260,3
-8.615212972,0.907510086,2
-8.600512696,1.035996812,1
-8.614593853,1.060672645,3
-8.560009994,0.791343142,1
-8.594621835,0.833122473,3
-8.595083655,0.845711719,1
-8.576179659,0.914417434,2
-8.592491410,0.921946396,1
-8.523654791,0.750561571,2
-8.536404007,0.833681808,4
-8.534191542,0.848118314,4
-8.545654374,0.902916158,2
-8.548780849,1.024263705,1
-8.497902501,0.710179700,2
-8.515881305,0.748274234,1
-8.507468997,0.831551266,2
-8.500589821,0.872917752,2
-8.510017655,0.885784657,1
-8.498056563,1.006721813,1
-8.451134600,0.667539341,3
-8.460502882,0.695196411,4
-8.461901088,0.733267904,3
-8.478064045,0.798978901,1
-8.479632283,0.802772817,1
-8.464429899,0.859299007,2
-8.458781499,0.987239464,2
-8.411430518,0.616193460,2
-8.432679296,0.654421388,3
-8.408026837,0.711312781,2
-8.432271003,0.725743591,2
-8.424040591,0.842862533,1
-8.410385016,0.968086841,1
-8.378784459,0.564547552,2
-8.362608503,0.641901058,1
-8.373674387,0.692986770,2
-8.378190596,0.819576876,3
-8.369908914,0.956536174,1
-8.324817343,0.548604587,1
-8.352732782,0.562499784,1
-8.334482091,0.626158894,1
-8.350337660,0.661743226,2
-8.334053935,0.805325513,1
-8.340163914,0.943036280,2
-8.302774299,0.551942244,2
-8.300179346,0.602943949,2
-8.297915026,0.661421866,2
-8.299904201,0.793329062,1
-8.314231476,0.822296898,1
-8.298186579,0.926716427,1
-8.317360977,1.265765699,1
-8.240228184,0.417309056,1
-8.248821206,0.451524386,4
-8.258059963,0.538534830,4
-8.262866196,0.665366678,1
-8.260610960,0.783045189,1
-8.245268768,0.914062870,1
-8.209950461,0.382852249,2
-8.226740824,0.416548326,1
-8.236896479,0.456936464,4
-8.200888358,0.519761997,1
-8.208939331,0.623441536,2
-8.220148936,0.642175728,2
-8.215507577,0.769495066,2
-8.230936379,0.904111472,1
-8.183829919,0.381819601,3
-8.185107026,0.503997495,2
-8.199774565,0.632024416,1
-8.188000881,0.692426375,1
-8.174475597,0.754836488,1
-8.194932842,0.894464373,1
-8.137760080,0.374117425,7
-8.144314493,0.488550496,2
-8.134233621,0.608989551,2
-8.147697691,0.745914406,1
-8.145991542,0.878461821,1
-8.137745436,1.279023400,1
-8.081211466,0.355295737,1
-8.101259968,0.369768487,4
-8.090645981,0.457395474,2
-8.089971146,0.495409409,2
-8.105388657,0.611695942,3
-8.102626402,0.734022493,1
-8.089107285,0.864025046,1
-8.115649545,1.051707137,1
-8.052734527,0.350703372,3
-8.065625320,0.361982131,2
-8.061266442,0.454987710,3
-8.063432326,0.492513598,3
-8.063175493,0.588734324,1
-8.068979355,0.617474490,6
-8.066262154,0.725773878,1
-8.049015819,0.992729142,1
-8.018301929,0.332368558,5
-8.020814170,0.468729134,4
-8.033408508,0.580496914,1
-8.038736036,0.713598382,1
-7.996677489,0.325646036,1
-7.968912921,0.435813019,2
-7.970200711,0.446209394,2
-7.996319617,0.483620408,1
-7.982843033,0.567435339,2
-7.968492753,0.700385053,1
-7.930960447,-1.159138309,1
-7.927361092,-0.845798167,1
-7.951112873,0.315722622,2
-7.927033832,0.429709176,2
-7.958727859,0.493718290,1
-7.947891548,0.831297924,1
-7.884950875,-1.252734419,1
-7.884274052,-1.235848792,1
-7.907389170,-1.153944638,1
-7.897359836,-1.088654812,1
-7.893547995,-1.036317847,1
-7.887707643,-0.974753892,1
-7.888118861,-0.959316026,1
-7.900207684,-0.862122477,2
-7.888670372,-0.706742072,2
-7.898954002,-0.660933647,1
-7.895172679,-0.456157402,1
-7.888158091,-0.396358724,1
-7.893052431,-0.204064958,1
-7.903047550,0.303570892,3
-7.891397617,0.550196107,1
-7.884816361,1.062796479,1
-7.870197466,-1.295221001,1
-7.849271445,-1.254788302,2
-7.847695051,-1.218835144,5
-7.862040417,-1.101883938,1
-7.842470890,-1.000728804,1
-7.863960308,-0.984128413,1
-7.851478553,-0.938901789,2
-7.871088956,-0.897306696,1
-7.848547778,-0.810067762,2
-7.843797834,-0.770834710,2
-7.867742959,-0.739213341,3
-7.855466463,-0.660379418,2
-7.843794500,-0.544306366,1
-7.858051194,-0.512834278,3
-7.865174981,-0.306600925,2
-7.846033181,-0.253566926,1
-7.863867640,-0.128633264,1
-7.866619481,0.297518450,4
-7.862440048,0.417667778,2
-7.878535799,0.543575758,1
-7.870998161,0.949288557,1
-7.820184472,-1.491228225,2
-7.810606857,-1.468465235,6
-7.836395028,-1.361368682,1
-7.837373367,-1.277695336,1
-7.831100447,-1.218578076,5
-7.828808101,-1.196808531,2
-7.810748174,-1.001957660,1
-7.822918639,-0.976235739,4
-7.821773346,-0.926760773,2
-7.813662429,-0.907187588,8
-7.832403091,-0.750223191,1
